date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,815096340,189139,15491200000,998.33,147775000,2000,64.97262127
02-01-17,1177767914,259626,16055100000,1021.75,222185000,1725,104.0155307
03-01-17,1555388587,299747,16426600000,1043.84,185168000,2175,110.4774617
04-01-17,1956642556,314971,16795400000,1154.73,344946000,1850,144.6314472
05-01-17,2201317358,301862,18604000000,1013.38,510199000,1850,167.5577316
06-01-17,1747135312,348783,16314100000,902.2,351876000,2025,131.660522
07-01-17,1284147969,281148,14534400000,908.59,279550000,1700,106.5827181
08-01-17,805832427.4,267851,14611400000,911.2,158715000,1962.5,93.94094356
09-01-17,1271920754,265257,14694900000,902.83,141877000,1862.5,97.12533162
10-01-17,1314574548,319011,14522600000,907.68,115808000,1937.5,120.5445491
11-01-17,2477344921,290097,14615700000,777.76,310929000,1862.5,106.6931027
12-01-17,1815646731,304350,12477600000,804.83,222326000,2175,110.4957979
13-01-17,1503034049,284591,12939100000,823.98,168968000,1987.5,101.395727
14-01-17,722371191.8,243658,13285200000,818.41,93063300,2062.5,84.43101692
15-01-17,785717360.5,238261,13174300000,821.8,71013600,2112.5,85.17234104
16-01-17,1012954806,244356,13234600000,831.53,82755200,2037.5,93.35476725
17-01-17,1312835146,294931,13383900000,907.94,155095000,1937.5,112.0508972
18-01-17,1218498469,310376,14648900000,886.62,225677000,2062.5,113.3850577
19-01-17,1039071900,303350,14311700000,899.07,105625000,2162.5,112.4242977
20-01-17,1036977793,293251,14472100000,895.03,86728400,2175,105.2106648
21-01-17,867921307,270811,14432000000,921.79,111158000,2300,95.32603131
22-01-17,735754861.1,239026,14863600000,924.67,116573000,2200,88.90143618
23-01-17,991102987.1,258127,14918800000,921.01,73588600,1837.5,99.84993774
24-01-17,1082835307,231077,14681400000,892.69,111349000,1787.5,142.8270543
25-01-17,1215487771,314498,14380700000,901.54,120831000,1887.5,136.4651502
26-01-17,977276314.4,314974,14551200000,917.59,131958000,1887.5,123.5715863
27-01-17,874877659.8,284503,14810400000,919.75,125594000,2250,117.4229651
28-01-17,666517784.3,237259,14835800000,921.59,68979600,1800,115.3535591
29-01-17,665771468.8,235738,14874000000,919.5,60851700,2037.5,123.9431022
30-01-17,852937102,257336,14844900000,920.38,78227300,1850,126.4189937
31-01-17,1096538883,284178,14859700000,970.4,164582000,1787.5,146.725731
01-02-17,1340773421,339122,15667900000,989.02,150110000,2337.5,155.1815963
02-02-17,1267620822,300969,15977800000,1011.8,145821000,2162.5,147.6201007
03-02-17,1990197935,280253,16326100000,1029.91,201278000,1725,157.885661
04-02-17,1207019744,308055,16648800000,1042.9,155064000,1837.5,139.8792543
05-02-17,1013913210,283513,16847400000,1027.34,114208000,1950,133.1373501
06-02-17,1223925707,259363,16605400000,1038.15,111762000,1762.5,163.8684626
07-02-17,1434639794,291572,16796600000,1061.35,146007000,1725,165.0452666
08-02-17,1363791973,323851,17156700000,1063.07,201855000,1900,159.9320837
09-02-17,1365118650,333043,17197100000,994.38,407220000,2000,164.4314064
10-02-17,1215107570,314344,16083600000,988.67,190452000,1912.5,152.9390561
11-02-17,805053320.3,265479,15976700000,1004.45,102261000,1725,117.8767712
12-02-17,585077313.8,231014,16214700000,999.18,67530000,1687.5,101.7713043
13-02-17,952521402.3,276333,16141500000,990.64,100607000,2025,126.6373398
14-02-17,1198348268,317879,16028000000,1004.55,137946000,2162.5,146.8104562
15-02-17,1079749481,307937,16264100000,1007.48,89759400,1812.5,138.830232
16-02-17,971290993.7,265912,16289100000,1027.44,122277000,1787.5,155.3507362
17-02-17,1386930155,335276,16589600000,1046.21,136474000,1975,175.4650482
18-02-17,943669724.4,304046,16964800000,1054.42,99073500,1950,156.0554187
19-02-17,1095950632,234390,17056600000,1047.87,77423300,1612.5,126.5906329
20-02-17,1088689778,275162,16960200000,1079.98,109478000,1812.5,157.0351243
21-02-17,1199113875,292564,17456900000,1115.3,186869000,1787.5,168.1820583
22-02-17,1263815822,278219,18033400000,1117.44,136100000,1712.5,176.3083469
23-02-17,1569146563,299708,18075200000,1166.72,189454000,1737.5,202.4004662
24-02-17,1541592272,351311,18974400000,1173.68,330759000,2037.5,225.9591355
25-02-17,1088560241,322509,18939500000,1143.84,139961000,2000,198.6407775
26-02-17,852794482.3,290794,18518900000,1165.2,116486000,2400,170.1602259
27-02-17,1217855034,262940,18837300000,1179.97,131570000,1762.5,177.7305279
28-02-17,1443159229,327345,19113600000,1179.97,184956000,1912.5,231.4569215
01-03-17,1522646532,320989,19104800000,1222.5,229057000,1837.5,227.2493148
02-03-17,2010142064,313730,19829800000,1251.01,368275000,1887.5,239.8395341
03-03-17,2146750850,341952,20253700000,1274.99,315739000,1875,265.152712
04-03-17,1443616897,277391,20688800000,1255.15,183270000,1775,227.3123188
05-03-17,1253031707,295917,20316000000,1267.12,134127000,1837.5,224.8933989
06-03-17,1624580166,271083,20531900000,1272.83,153657000,1737.5,228.8167199
07-03-17,1754558056,323648,20627100000,1223.54,291256000,1900,268.5355247
08-03-17,1644800111,320466,19819800000,1150,332603000,1900,245.6239505
09-03-17,1385292728,294583,18640900000,1188.49,212283000,1787.5,230.9372134
10-03-17,1514945745,304706,19275300000,1116.72,563796000,1937.5,253.3826549
11-03-17,1537699292,282486,18093700000,1175.83,283320000,1787.5,223.4083093
12-03-17,1050741246,219283,19073300000,1221.38,227176000,2000,189.4446606
13-03-17,1702909247,263545,19807700000,1231.92,380277000,1762.5,211.5641917
14-03-17,2208704720,332859,19978200000,1240,245306000,2025,270.2659726
15-03-17,1831856708,290428,20110400000,1249.61,297805000,1800,234.8212153
16-03-17,2623751402,303013,20293700000,1187.81,638568000,1787.5,250.8651753
17-03-17,2319849259,300424,19141800000,1100.23,706599000,1975,247.7964586
18-03-17,1566568407,278779,17838700000,973.82,621302000,2025,223.949248
19-03-17,1385357454,260974,15846000000,1036.74,406648000,1962.5,214.7779725
20-03-17,1475208837,260448,16829800000,1054.23,286530000,1712.5,226.4028432
21-03-17,1913627072,297088,17125600000,1120.54,337391000,1812.5,252.8185197
22-03-17,2002009401,317589,18187100000,1049.14,380841000,1962.5,267.6975181
23-03-17,1758250997,276232,17043400000,1038.59,248540000,1737.5,228.7634481
24-03-17,1564941467,305133,16857000000,937.52,491038000,2237.5,245.0680881
25-03-17,4200491348,253296,15204800000,972.78,435803000,1800,192.6325129
26-03-17,1107793297,221510,15814800000,966.73,303668000,1925,153.036471
27-03-17,1534888736,210842,15785000000,1045.77,372535000,1712.5,172.8503112
28-03-17,1786886644,311612,16964500000,1047.15,326332000,2025,248.1120707
29-03-17,1429037261,272352,16990900000,1039.97,298458000,1687.5,209.3001991
30-03-17,1492756177,294132,16929800000,1026.43,352969000,2050,210.6123248
31-03-17,2013542138,261567,16679000000,1071.79,447287000,1700,208.2290192
01-04-17,1425705730,272344,17413000000,1080.5,289634000,1750,205.4624656
02-04-17,1183535918,226678,17559400000,1102.17,514187000,1875,172.9442055
03-04-17,1791492361,281436,17924600000,1143.81,580444000,2150,214.6999882
04-04-17,1723617512,249981,18619000000,1133.25,436310000,1575,197.0599642
05-04-17,1690330448,314865,18435700000,1124.78,414784000,1975,235.9810089
06-04-17,1726574624,300356,18302600000,1182.68,511222000,1925,230.2193413
07-04-17,1609543981,291966,19168500000,1176.9,317022000,1862.5,217.6480458
08-04-17,1095874052,246642,19068600000,1175.95,209312000,1912.5,189.3096873
09-04-17,1060961130,230428,19134400000,1187.87,242343000,1862.5,163.1655085
10-04-17,1518678853,260713,19311200000,1187.13,215883000,1837.5,185.0161441
11-04-17,1703613556,308799,19316000000,1205.01,216182000,2137.5,229.7581549
12-04-17,1758603994,276482,19600800000,1200.37,288702000,1775,213.3811992
13-04-17,1756352108,255899,19541300000,1169.28,351969000,1675,210.4821992
14-04-17,1825191551,261457,19043800000,1167.54,254827000,1637.5,237.5030528
15-04-17,1331222916,274918,18996500000,1172.52,203559000,1850,206.1289825
16-04-17,1228604995,222059,19085100000,1182.94,183231000,1800,165.477297
17-04-17,1612668658,236039,19260500000,1193.91,253206000,1812.5,174.6945731
18-04-17,2022244263,287650,19433800000,1211.67,270524000,1750,210.6738028
19-04-17,1676089471,314801,19734800000,1210.29,288061000,1787.5,216.0788198
20-04-17,1828233164,278029,19719900000,1229.08,315108000,1837.5,231.2090277
21-04-17,1752561134,317732,20020700000,1222.05,272167000,1950,239.3116013
22-04-17,1285718908,290463,19913900000,1231.71,249320000,1937.5,191.4698163
