date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,663974.3994,1073,78350600,11.23,3684210,2122.415821,16.81509914
02-01-17,1161036.11,1156,78789700,11.81,3800380,2118.535719,17.06558005
03-01-17,1167813.625,1522,82603400,12.78,3846520,2110.775515,19.83633166
04-01-17,3194840.064,2349,89664000,16.52,4901250,9251.55623,25.78648198
05-01-17,2075966.939,1762,116187000,14.38,2579450,2091.375005,23.21274342
06-01-17,2877637.059,1664,101082000,12.03,2262740,2145.696434,23.47388413
07-01-17,842175.9354,1439,83814000,12.44,2542530,2153.456638,20.41404119
08-01-17,716101.7419,1244,87104800,12.54,3118970,2095.255107,17.44619868
09-01-17,777187.908,1363,88154300,12.09,2365630,2141.816332,16.9446237
10-01-17,574673.7397,1094,84366800,12.49,1391630,2091.375005,15.96853794
11-01-17,988396.2785,1065,87501500,11.3,3100210,2157.33674,18.99685001
12-01-17,1430670.457,1424,79295200,12.22,8272830,2114.655617,20.10119325
13-01-17,934268.5895,1176,85789600,12.59,8400930,2099.135209,17.53433527
14-01-17,971270.0288,1235,88482900,12.08,7960870,2161.216842,17.42221936
15-01-17,1198958.525,1266,84869100,12.39,4362180,2126.295923,18.52706391
16-01-17,1808274.833,1214,86960200,12.94,3715630,2118.535719,15.87959711
17-01-17,1957983.262,1334,90828600,14.25,1810660,2114.655617,18.89951518
18-01-17,1087272.961,1192,100228000,14.06,1510760,2141.816332,18.6254342
19-01-17,2898660.361,1507,99371100,15.18,2170870,2114.655617,21.07404413
20-01-17,2313084.257,1413,106564000,15.16,2021010,2118.535719,19.53074773
21-01-17,1366536.284,1126,106916000,14.97,1958960,2134.056128,18.28356628
22-01-17,1556749.342,1052,105622000,15.11,1918440,2114.655617,17.92346394
23-01-17,1407604.178,1107,106549000,15.19,1553800,2153.456638,16.17591177
24-01-17,4509065.141,1142,106493000,14.09,2694720,2091.375005,18.02074246
25-01-17,6726723.249,1156,99366700,14.51,1656580,2122.415821,17.30041782
26-01-17,1636665.342,1223,102158000,15.04,1348170,2103.015311,17.90330179
27-01-17,1380111.915,1146,106228000,15.34,1303190,2137.93623,17.90685332
28-01-17,1022946.333,1237,108155000,15.27,1333010,2126.295923,15.72924657
29-01-17,1327691.438,1053,107705000,15.51,1363910,2126.295923,15.79966591
30-01-17,1828073.509,1171,109407000,15.96,2046270,2103.015311,19.5310127
31-01-17,8089828.338,1422,112498000,16.07,1384500,2165.096944,17.78917849
01-02-17,1645717.524,1319,113338000,16.03,2139000,2110.775515,16.60617851
02-02-17,2226392.883,1377,112934000,16.31,1350760,2134.056128,16.30289299
03-02-17,4335740.983,1958,115306000,17.52,1818910,9272.055413,23.43712805
04-02-17,2683534.277,1967,124173000,17.62,1598070,2149.576536,20.04228727
05-02-17,3194710.904,1690,124154000,17.06,1905980,2118.535719,17.767914
06-02-17,3566021.885,1842,120894000,17.12,1025680,2118.535719,15.11604769
07-02-17,2069682.453,1961,121211000,17.14,1388260,2130.176025,8.9575757
08-02-17,2311757.703,1641,121430000,17.35,1552640,2114.655617,7.84741146
09-02-17,2693607.649,2003,122937000,16.58,1793860,2134.056128,4.58191679
10-02-17,4480057.576,2143,117570000,16.67,1386930,2134.056128,4.0399057
11-02-17,2733034.074,2212,118350000,17.15,1216530,2114.655617,1.99761915
12-02-17,2464707.073,2376,121667000,16.91,1264080,2106.895413,2.76315362
13-02-17,4592904.507,2486,119800000,16.88,1464030,2134.056128,3.24458878
14-02-17,3128323.2,2251,119626000,18.15,1948330,2141.816332,3.63147486
15-02-17,5180334.668,2711,128554000,19.63,3355410,2137.93623,3.68181446
16-02-17,5750383.876,1878,139499000,19.52,2859140,2110.775515,3.41815316
17-02-17,4562487.866,1916,138366000,20,1859180,2149.576536,2.71359353
18-02-17,20224803.58,2266,142505000,21.41,3498460,2103.015311,4.58714634
19-02-17,12085652.1,3477,152571000,22.55,5688120,2122.415821,4.93001687
20-02-17,6161008.936,2998,160743000,21.59,4159380,2103.015311,6.61767455
21-02-17,4365118.497,2470,153668000,21.25,4093200,2153.456638,4.43842415
22-02-17,9712573.077,2139,151098000,22.12,2625710,2130.176025,3.3931907
23-02-17,8580795.639,3056,157238000,25.22,4664780,2095.255107,4.02356596
24-02-17,10308220.37,3453,178372000,26.2,10322700,2118.535719,5.7835895
25-02-17,12869723.9,3154,186832000,26.76,7377240,2087.494903,4.15837961
26-02-17,17362276.95,2999,189992000,28.11,4656680,2149.576536,4.32632005
27-02-17,7411673.513,2548,200212000,28.18,4064580,2122.415821,4.1123857
28-02-17,11384864.62,3567,201326000,32.51,10042800,2134.056128,7.13404899
01-03-17,44423777.59,6405,232593000,42.54,31700200,2114.655617,9.52814172
02-03-17,50123337.66,8223,302911000,42.44,72796200,2126.295923,11.16552716
03-03-17,25061936.16,5968,314220000,47.38,33651400,2130.176025,9.02768457
04-03-17,11905550.43,3864,336628000,43.38,14949600,2079.1804,6.4169054
05-03-17,11227868.76,4034,307986000,42.31,12260100,8398.651079,5.5611007
06-03-17,13833159.19,3688,301783000,46.5,12933400,1992.432406,9.09784249
07-03-17,13194214.28,3482,332936000,45.68,9034640,1985.226502,4.53902348
08-03-17,12989891.98,3212,325712000,42.33,7640390,1970.814695,3.64068364
09-03-17,25868883.41,4818,302128000,51.06,21013500,1952.799935,5.2881701
10-03-17,16952863.49,4406,365561000,50.42,24723800,1996.035358,6.63082559
11-03-17,43215726.75,6093,360708000,72.93,55127200,1978.020599,8.77476704
12-03-17,31728788.07,5804,520543000,77.08,46099200,1967.211743,8.45454844
13-03-17,26925716.31,5461,551120000,74.61,36706700,1985.226502,7.86745364
14-03-17,37456634.12,5572,534395000,88.24,37180000,1970.814695,6.84339672
15-03-17,116441419.3,8706,638133000,95.09,68173100,1978.020599,10.52994351
16-03-17,77172538.07,7744,683888000,89.81,54538700,1960.005839,9.88113936
17-03-17,65540340.65,6730,642049000,99.14,44263600,1970.814695,6.96251431
18-03-17,89650401.82,8791,724518000,109.24,74763700,1988.829454,8.27680802
19-03-17,45596762.83,6974,771412000,108.23,44670100,1960.005839,6.48829119
20-03-17,43738919.07,5458,776036000,100.05,25082500,1981.623551,4.71616771
21-03-17,37325038.71,6764,717014000,95.38,40860300,1974.417647,5.65205584
22-03-17,121017608.1,6151,686887000,101.51,46138100,1967.211743,4.76058188
23-03-17,25183741.7,4959,727130000,101.43,15500100,1974.417647,3.78748093
24-03-17,62736239.11,4659,729578000,97.27,33033000,1963.608791,4.58372475
25-03-17,33303989.11,5023,696738000,94.33,23040200,1974.417647,4.9223048
26-03-17,41671278.75,4459,677736000,93.63,20996100,1985.226502,4.65957123
27-03-17,29245313.8,5850,673078000,85.66,45830500,1960.005839,6.60871495
28-03-17,27342380.59,4616,606012000,87.89,24886900,1960.005839,4.39855578
29-03-17,30541426.13,4936,631616000,84.4,18209000,1970.814695,3.96274589
30-03-17,17877082.87,5703,607325000,79.61,26036700,1974.417647,5.80231073
31-03-17,26416977.54,5894,572175000,74.91,37471500,1949.196983,6.12609223
01-04-17,24727761.16,5089,534806000,68.6,17542100,1996.035358,4.45110032
02-04-17,20967930.44,5796,491501000,57.07,26723500,1985.226502,6.60287311
03-04-17,29232236.05,6384,408589000,61.76,42403200,1952.799935,6.70474247
04-04-17,28470847.83,5011,456882000,69.07,33869600,1970.814695,5.97914018
05-04-17,24444883.91,4504,498097000,74.37,31084000,7162.899454,4.51858219
06-04-17,15719811.45,4478,537046000,66.53,21464900,1985.226502,3.84455466
07-04-17,8757491.307,3308,479637000,66.19,13046400,1960.005839,2.75276828
08-04-17,9112539.353,2957,476916000,67.75,10316300,1996.035358,5.19742238
