date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
01-01-17,15777.66216,610,1680250,0.49,3214,7598.979914,3.84375588
02-01-17,185181.6296,5429,1706590,0.472282,8169,7631.224525,50.95799582
03-01-17,24661.27344,613,1647480,0.461408,5036,7330.274825,4.96338248
04-01-17,352064.6587,5067,1612730,0.656956,35530,8163.260601,38.77500364
05-01-17,29455.30987,716,2194980,0.551482,13244,7808.569883,9.17338816
06-01-17,205506.5689,2854,1942000,0.548149,13186,7824.692189,24.50195313
07-01-17,37518.59805,600,1950040,0.672963,48405,6588.64878,5.695313
08-01-17,108518.8063,1368,2372740,0.823298,45714,8039.65626,9.94866712
09-01-17,308879.4271,4175,2894870,0.814826,52721,6970.210006,34.46728708
10-01-17,106705.2408,1245,2935980,0.703456,31966,7926.800123,9.27468332
11-01-17,336068.1637,3605,2502040,0.698304,30367,8211.627517,32.52979565
12-01-17,20757.95838,559,2489440,0.836467,22706,6567.152373,4.34478575
13-01-17,169912.8571,1564,2976980,1.1,95936,7158.303568,13.27453641
14-01-17,96444.5015,960,3951920,1.05,101834,8685.293399,6.84785545
15-01-17,521075.4446,4882,3744110,0.979475,47474,7954.734811,66.29407869
16-01-17,42697.85183,758,3502420,0.958128,41930,6741.571241,8.05776783
17-01-17,402397.4351,3553,3426420,0.884882,51465,7672.72749,36.10949833
18-01-17,65698.00285,832,3189520,0.856784,29944,7646.123025,6.00104868
19-01-17,146296.4635,1697,3153600,1.04,40489,7220.451597,12.0807237
20-01-17,55417.40031,726,3754430,0.913069,30692,7459.891776,6.61475891
21-01-17,461800.3765,3892,3273920,0.873401,19965,7997.301954,45.11984595
22-01-17,35544.80916,887,3172360,0.918113,11359,7773.824454,5.54669843
23-01-17,232206.16,2184,3345390,0.983584,21028,6331.862492,17.16822577
24-01-17,124211.831,1153,3544670,1.01,20334,8380.406239,7.03734989
25-01-17,162816.0129,2419,3718770,1.01,49183,7172.563562,17.72077556
26-01-17,210914.507,1108,3724990,1.57,614441,7470.533561,10.20448009
27-01-17,322472.2591,3551,5881160,1.34,151059,7699.331954,22.61075358
28-01-17,444089.2548,987,4981630,1.53,72100,7114.03374,5.46661276
29-01-17,4676250.332,990,5626670,1.95,322541,8545.353917,9.59091501
30-01-17,989158.2585,2941,6925250,1.84,140668,7614.197668,26.48522233
31-01-17,200485.8625,783,6802470,2.29,318261,7709.97374,8.6857612
01-02-17,5222713.918,3271,8288660,2.46,386941,7715.294633,29.90330223
02-02-17,130156.6063,1059,9325390,2.6,132901,7800.428918,9.49170559
03-02-17,1030623.976,3797,9659720,2.61,133515,7869.600525,42.3851274
04-02-17,310049.534,1289,9812420,3.37,726595,8432.087386,8.68505043
05-02-17,1037224.436,3238,12544800,3.06,568651,7343.885774,32.34396184
06-02-17,113443.3065,951,11352700,2.6,178837,6263.902572,15.10035638
07-02-17,1022035.382,3406,9701580,2.6,183596,7359.690407,29.43932428
08-02-17,130913.9959,1327,9754980,2.57,115129,8866.398679,6.92766279
09-02-17,844414.7349,3083,9695360,2.77,189010,6848.673965,40.86764607
10-02-17,159917.1668,1099,10568500,2.57,133894,7538.809572,6.08563139
11-02-17,814137.9851,3643,9781950,2.5,53483,7354.422196,34.22174561
12-02-17,105989.3777,1451,9442600,2.39,57501,8149.922018,6.71774511
13-02-17,964978.454,3420,9074080,2.67,139972,7928.657167,65.0122343
14-02-17,137086.9643,1079,9974470,2.42,210760,6506.240266,7.69732
15-02-17,2180115.715,2291,9141590,2.38,158941,7375.495039,27.12265317
16-02-17,200237.1101,1215,9256170,2.2,118378,8012.948539,7.42146941
17-02-17,376703.9447,1674,8402380,2.08,86612,7459.786411,12.5926386
18-02-17,286037.3829,1654,7997430,1.84,108718,7849.634006,12.6182617
19-02-17,218951.9085,1536,7093410,2.01,83590,7391.299671,8.96716386
20-02-17,290033.4709,1592,7714650,1.88,51662,7322.812931,12.03349442
21-02-17,297568.3032,1748,7202220,1.74,73990,8318.504762,11.61619432
22-02-17,214810.4021,1507,6863120,2.12,126632,6458.82637,10.04850558
23-02-17,572981.1246,1813,8129910,2.06,81706,7333.349353,11.88467191
24-02-17,1241768.434,1648,7974190,2.29,94786,8434.405398,11.17815115
25-02-17,377975.1709,1681,8880020,2.29,41894,6663.764984,11.67568768
26-02-17,242666.5831,1685,8875570,2.4,63893,7072.964125,8.87648298
27-02-17,303842.685,1746,9093080,2.31,61474,7954.476616,12.01609743
28-02-17,238072.0636,1477,9031420,2.15,40291,6838.241865,9.6624249
01-03-17,266453.4718,1754,8412630,2.02,58226,7015.587573,11.73640487
02-03-17,227553.9856,1715,7953900,2.09,76329,7469.383944,11.28301593
03-03-17,260345.182,1621,8220470,2.07,59527,7161.63698,11.23113588
04-03-17,267031.9908,1657,8152800,2.15,42303,8559.538444,10.637096
05-03-17,417015.4335,1865,8451920,2.08,32296,7500.680245,13.68495248
06-03-17,317493.4759,1347,8245290,2.29,68215,6014.105927,18.9383702
07-03-17,437305.0028,1553,9009560,3.31,722346,7151.204879,15.58778425
08-03-17,584377.9445,2114,13102700,2.8,478957,9055.063217,17.28460446
09-03-17,472099.035,1682,11179700,3.09,237597,6233.180037,12.71858342
10-03-17,559229.1081,1824,12349800,3.13,483867,7641.513602,17.87115585
11-03-17,1451072.128,2456,12450600,3.27,233518,7693.674104,18.49561599
12-03-17,1697593.106,2264,13110100,4.62,1388970,8220.495178,17.98992316
13-03-17,1402085.426,2211,19933900,5.06,2123340,7119.908578,18.96262182
14-03-17,857741.0171,1945,20299800,4.64,980972,7172.06908,16.38752943
15-03-17,945395.0172,1876,18614300,5.34,925039,7328.550587,14.4935959
16-03-17,1144454.699,2383,21379400,5.18,945455,8366.544585,19.47797749
17-03-17,920703.3359,2311,20773400,4.83,642384,7052.099924,16.15189783
18-03-17,1298724.071,2287,19672000,6.23,1052730,7511.112346,14.65640345
19-03-17,1925633.556,2272,25517900,6.38,1300370,6605.223858,18.64161904
20-03-17,1330130.088,2807,25696900,6.14,616274,8356.009196,19.00678662
21-03-17,1341954.49,2826,24969500,5.76,577491,7953.185514,20.10789027
22-03-17,349372.8009,1586,23476000,5.91,334899,6718.892438,8.1384704
23-03-17,1570865.576,2114,24379400,7.81,1580610,6971.94834,16.3100314
24-03-17,1824802.987,2432,31348600,7.3,746802,8314.693947,18.09946585
25-03-17,2326626.579,2078,30441500,10.02,1465100,7033.921214,17.08835613
26-03-17,6083793.575,3222,42224800,15.19,15340800,8965.409125,27.62199824
27-03-17,3398507.1,3242,61324700,10.79,7036740,7111.387307,34.93934558
28-03-17,1779438.086,1721,45080700,12.81,2885050,6946.126309,19.34097117
29-03-17,3285554.813,1955,53626700,12.24,1123390,6192.123007,18.65111557
30-03-17,1707147.935,1568,51143700,12.25,1617450,8051.309232,14.37154197
31-03-17,3709803.274,2754,55277700,12.67,1004920,7627.827925,28.70561086
01-04-17,1065280.125,1633,57887700,12.8,612191,7922.199077,13.36518708
02-04-17,1751592.503,1943,58887100,11.08,1259490,7436.744896,16.37589757
03-04-17,1389952.375,1670,50723600,10.83,1468930,7064.907652,15.13476169
04-04-17,3211139.816,2518,49787600,10.02,1042790,7483.224552,25.57076385
05-04-17,1585552.903,1597,46009800,10.31,1240980,7824.07536,14.36312663
06-04-17,2600482.855,2269,47454900,9.69,801588,7002.934777,20.95690312
07-04-17,400419.6074,1283,44938800,8.86,664892,7255.99068,9.31970277
08-04-17,3914360.019,3142,40994700,11.18,2052440,7669.143174,29.83050478
09-04-17,2877963.62,2782,52201500,11.99,2464150,8578.436591,26.16099104
10-04-17,2072111.636,2340,55567300,11.52,1106340,6427.384719,24.95265384
11-04-17,673284.2963,1354,53672100,11.4,832124,6826.220048,15.09100989
12-04-17,3288076.33,3643,53028900,11.51,664216,8574.959566,29.14831026
13-04-17,1260119.328,2239,53712000,10.99,698967,6575.669649,15.7960579
14-04-17,4048242.778,3547,51830200,11.05,449000,6994.958071,30.79407581
15-04-17,2300161.739,2349,51613100,12.16,705586,7915.347291,16.61310633
16-04-17,2647514.419,2427,56916900,12.18,635036,6468.290907,20.09427248
17-04-17,1369158.826,2218,57037200,12.03,851312,7756.835815,15.35441557
18-04-17,3239711.195,3327,56726800,12.13,684640,7710.816354,24.5089994
19-04-17,1900327.145,2099,57014000,13.43,3399220,6795.540407,16.02575022
20-04-17,4613992.766,3339,63237700,14.22,1689860,8068.745495,25.93228557
21-04-17,2553345.067,2687,67042300,14.85,803308,7490.945596,17.99463697
22-04-17,2613551.095,2254,70369300,14.77,1183560,6943.825337,17.417071
23-04-17,720126.4928,1337,69918500,16.52,2618160,4315.602787,7.7251285
24-04-17,4795995.572,3114,78587300,16.57,2835990,5149.066358,28.69204491
25-04-17,2386433.861,3936,77983700,15.21,2007810,12082.66515,21.70230464
26-04-17,5145779.657,3332,70895400,16.47,1997200,7010.297892,31.58323934
27-04-17,939116.5872,1700,77547500,14.55,1658670,5890.491008,9.67006102
28-04-17,8944905.155,4191,69382900,15.28,1756280,7035.864259,45.34697432
29-04-17,815084.8559,2267,73202100,15.65,960592,8554.506472,9.91538616
30-04-17,7129263.634,4306,74906700,15.85,1326060,7432.927661,46.47103651
01-05-17,1864801.765,2472,75566600,15.16,1895940,7209.209291,19.44975284
02-05-17,5490160.928,3926,71644400,13.8,1660500,6956.076942,41.12384295
03-05-17,956011.2286,2076,66135900,14.37,1610890,7209.209291,10.88155954
04-05-17,6221850.651,3790,69259600,15.25,1313140,7472.466934,30.21282479
05-05-17,1046935.891,1979,73881300,15.95,1630340,6890.262532,11.6963109
06-05-17,7966487.562,3562,76993500,17.02,1476430,7315.524877,32.14198143
07-05-17,2508784.636,2699,82327700,17.05,2927270,7644.596931,15.90148728
08-05-17,6445593.352,3339,83456300,17.23,2088860,6956.076942,33.04050512
09-05-17,1151247.838,1872,83549800,15.47,1562010,6794.072239,11.31846562
10-05-17,7774494.571,3617,75973900,16.53,988746,7082.643117,38.20370023
11-05-17,1895516.853,2232,80420700,15.34,831284,7685.098107,12.30016167
12-05-17,5510742.181,3279,74261500,15.25,709425,7507.905463,32.57496797
13-05-17,3167290.223,2655,74203300,18.79,2811300,7275.023702,17.55928696
14-05-17,6050386.094,3581,92138000,17.16,1453890,6763.696357,34.47193329
15-05-17,2059162.753,2217,83805300,15.55,1317300,7330.712818,12.7295431
16-05-17,5913345.464,2847,76315800,15.27,1115020,6515.626656,32.2294153
17-05-17,2066546.118,2467,75257100,21.14,7469700,7664.847519,11.72461077
18-05-17,4220278.412,2804,105225000,21.1,3308570,7806.601634,16.14594606
19-05-17,2838120.295,2337,103110000,20.01,1416190,6505.501362,13.56698724
20-05-17,7975246.804,3803,97566500,20.25,1158210,7042.141941,37.96426294
21-05-17,1361305.631,2145,99768100,20.33,1269580,7224.647858,11.78988944
22-05-17,5164993.93,3353,100785000,20.05,2165250,6631.566283,20.44284774
23-05-17,1916252.405,2385,98437000,22.31,1827550,7664.145765,12.31562946
24-05-17,5428721.724,2835,111877000,24.37,3857870,6065.151325,21.35356299
25-05-17,3185209.583,2519,119296000,21.92,1814930,7483.694982,15.49003924
26-05-17,8080687.51,3428,108815000,21.4,1221450,7498.732547,39.56459745
27-05-17,1882798.212,2207,106838000,18.9,1063380,7197.981242,16.24761079
28-05-17,8029658.923,3605,94770500,20.04,963530,7699.233417,37.50601653
29-05-17,806166.9626,1732,99860900,20.83,781367,6521.290805,11.943865
30-05-17,7926146.693,3192,104238000,20.3,1323570,7298.231677,36.58167281
31-05-17,1175265.619,1796,101976000,21.8,995100,6932.317589,12.50652077
01-06-17,7845030.51,3253,110146000,24.95,2886770,7167.906111,27.46809737
02-06-17,2037198.521,2440,125482000,30.7,3739400,8060.134984,14.51744305
03-06-17,11457345.03,3597,154295000,35.21,6865010,6486.203152,29.52335012
04-06-17,3378685.081,2163,177458000,32.1,3468980,6756.879327,15.72658781
05-06-17,9445200.117,3619,162002000,35.05,2868100,7629.058113,31.63624343
06-06-17,1744824.082,2065,176868000,34.58,2657680,6812.017066,14.63158163
07-06-17,9880755.332,3365,174967000,32.62,3270310,7172.918633,35.2459787
08-06-17,3147032.944,2158,165901000,34.66,2388670,7253.118981,15.62786377
09-06-17,19281818.93,3586,175431000,42.12,4390150,7553.870286,35.73840702
10-06-17,3879870.536,2211,215444000,41.08,5631520,6726.804197,14.61637459
11-06-17,10006636.93,3154,208689000,41.05,5497050,7834.571505,20.40525245
12-06-17,1869382.975,2305,208041000,33.73,3761090,7213.515097,13.38631432
13-06-17,8242965.447,3049,170407000,36.87,2086310,6412.057534,18.11860918
14-06-17,1224498.308,1848,187546000,31.22,1413710,6580.79589,10.42638504
15-06-17,8760239.535,3689,158782000,30.18,1402140,7627.966277,22.31698605
16-06-17,1762095.372,2442,154382000,32.57,1267190,7727.224133,14.33292299
17-06-17,7636349.399,3299,166673000,31.83,1336480,6913.309709,20.32293314
18-06-17,2412791.244,2130,164444000,41.95,11185200,6575.832997,13.99911671
19-06-17,10475164.96,3717,216323000,40.05,5853420,6744.571353,22.98336653
20-06-17,2895113.557,2156,206818000,35.71,3106890,7037.38203,15.46468146
21-06-17,10008155.38,3841,183928000,37.04,2080240,8079.589524,21.21862216
22-06-17,3554796.953,1916,190323000,43.12,5629680,5816.510394,12.42381408
