date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,1196718.469,7112,24026000,0.000228,136829,13780000,15543.722
02-01-17,1011308.978,8628,24560200,0.000226,195520,13890000,19785.11813
03-01-17,1115629.473,9572,24049700,0.000227,132352,13830000,16309.33954
04-01-17,2572847.554,8227,24417800,0.000236,442095,13870000,16832.49319
05-01-17,2140371.565,7582,25089500,0.000229,994730,13710000,17171.10141
06-01-17,1497424.31,7477,24493200,0.00022,305084,13860000,16325.42242
07-01-17,1625402.076,8298,23845200,0.000221,315096,13830000,17649.78498
08-01-17,1298496.385,7419,24134500,0.000221,132159,13850000,16316.08043
09-01-17,1667790.622,6658,23819300,0.000229,160173,13800000,15400.31687
10-01-17,1354216.987,7863,24646600,0.000226,204249,13570000,16500.53471
11-01-17,4849697.807,6722,24206100,0.000205,458200,13900000,13330.66859
12-01-17,3342185.451,6909,21909400,0.000208,263155,13570000,12645.34903
13-01-17,3895435.134,6591,22394500,0.000209,108930,13770000,9416.040762
14-01-17,2440636.023,7601,22506100,0.000209,71388,13690000,12381.64294
15-01-17,2412583.291,9356,22264100,0.000206,77839,13790000,14847.92378
16-01-17,1534982.206,7215,22207000,0.000207,103512,13700000,10997.8051
17-01-17,1480869.77,7839,22269400,0.000215,161002,13840000,13028.88158
18-01-17,1147454.228,11492,23216200,0.000208,98052,13830000,47800.65009
19-01-17,929925.8953,10161,22162400,0.000211,64430,13830000,54985.76509
20-01-17,914858.9783,7519,22531500,0.000209,72040,13800000,18697.35605
21-01-17,801373.7467,7467,22171400,0.000208,131115,13800000,12862.38391
22-01-17,569072.2752,10355,22461600,0.000207,72923,13580000,16539.98041
23-01-17,1109874.315,8879,22104300,0.000208,60873,13850000,13397.26723
24-01-17,1313782.519,9088,22428500,0.000202,59545,13910000,13421.37588
25-01-17,648289.0365,8352,21874100,0.000204,71636,13610000,12573.96296
26-01-17,861856.3611,9510,21979000,0.000208,93096,13830000,13621.27615
27-01-17,622480.1604,9611,22445100,0.000204,114996,13680000,15733.82344
28-01-17,697477.4163,11465,22554000,0.000209,54080,13870000,17647.42119
29-01-17,1043017.529,9616,22555000,0.000204,88538,13770000,15400.69113
30-01-17,1271314.708,9795,21996900,0.000208,60616,13880000,13768.43848
31-01-17,2397392.155,11844,22496400,0.000206,122078,13770000,18142.36872
01-02-17,1367423.06,10271,22754900,0.000209,83192,13870000,14810.14783
02-02-17,1027417.004,10717,22879700,0.000211,76734,13730000,14653.98084
03-02-17,1638158.759,12104,22790800,0.000213,112018,13810000,18464.38088
04-02-17,1410710.48,12490,23012200,0.000211,113546,13730000,19274.21654
05-02-17,1372293.397,11567,22840200,0.000211,99078,13790000,17633.85909
06-02-17,2178170.775,9325,22728300,0.000214,90884,13550000,13842.04561
07-02-17,1256063.148,9687,22880800,0.000208,110704,13850000,14515.34928
08-02-17,985371.5994,9854,22855700,0.000211,162662,13690000,14152.73607
09-02-17,1140848.331,11084,22436400,0.000204,200542,13600000,15879.91806
10-02-17,889132.9379,9735,22007800,0.000208,94677,13980000,13294.39613
11-02-17,956025.5837,10201,22505900,0.00021,94779,13830000,14215.91813
12-02-17,1184923.449,11274,22688800,0.000208,96618,13840000,17511.4955
13-02-17,1443441.041,10185,22754200,0.000208,128635,13750000,14282.46314
14-02-17,1019861.614,10741,22473400,0.000209,129514,13880000,14559.03667
15-02-17,1101998.814,10504,22516800,0.000209,154245,13730000,14536.32878
16-02-17,1621959.355,10945,22635500,0.000207,135279,13760000,15271.38088
17-02-17,1536235.169,12251,22420700,0.000209,153199,13670000,17954.79041
18-02-17,1186699.937,11537,22566400,0.000197,158688,13780000,17463.96467
19-02-17,727276.6636,14477,21283200,0.000208,74856,13720000,21337.85131
20-02-17,1684576.689,11559,22491300,0.000207,89141,13730000,16925.66888
21-02-17,1334716.799,10884,22741500,0.000208,102673,13860000,15794.93824
22-02-17,912576.6205,10952,22564000,0.000202,108610,13650000,16783.22657
23-02-17,1177522.106,11624,21831400,0.000208,110405,13850000,16722.8807
24-02-17,1670266.268,13448,22484400,0.000208,118202,13710000,18923.75089
25-02-17,1039335.783,12377,22092400,0.0002,64485,13670000,18772.22192
26-02-17,1215080.341,15263,21666300,0.000203,55007,13610000,25936.5132
27-02-17,1515778.444,13902,22342300,0.000208,115816,13810000,20761.89296
28-02-17,1648151.566,11607,22134400,0.000205,90932,13760000,18051.67224
01-03-17,1379273.965,13070,22279600,0.000203,136870,13760000,19714.45906
02-03-17,1482153.656,11478,22238800,0.000206,203994,13740000,17500.51088
03-03-17,1573183.594,11281,22232700,0.000211,146345,13690000,16117.39326
04-03-17,911170.9312,12025,22878400,0.000205,94177,13810000,18459.86612
05-03-17,986249.3632,12647,22162200,0.000206,69490,13740000,19508.19507
06-03-17,876387.2354,11423,22762600,0.00021,111585,13680000,16761.39089
07-03-17,967274.9497,11185,22346300,0.000209,169049,13750000,14934.54764
08-03-17,1310536.748,11697,22643100,0.000208,242738,13800000,15476.85611
09-03-17,956651.3197,10411,22451000,0.000211,110162,13750000,13938.4977
10-03-17,4197554.071,12329,22864300,0.000204,327829,13920000,16456.84152
11-03-17,1128034.504,11928,22209200,0.000211,142059,13610000,20187.10894
12-03-17,6143364.65,11888,22957500,0.000229,320578,13510000,17728.22762
13-03-17,8312583.6,11919,24592300,0.000247,998448,13720000,16937.78032
14-03-17,8302114.605,11321,26182600,0.000238,350586,13930000,15738.67023
15-03-17,5871971.68,10217,25820600,0.000243,395931,13870000,14403.01026
16-03-17,6308690.409,10828,26181600,0.000235,448480,13770000,14673.77763
17-03-17,1639643.673,10397,25505900,0.000223,393182,13760000,14573.19885
18-03-17,1826084.161,12766,24241700,0.000219,474001,13780000,17999.13858
19-03-17,2353216.221,13557,23804000,0.000235,335532,13780000,19874.2107
20-03-17,6539578.614,11763,25573500,0.000236,339899,13700000,15916.66885
21-03-17,3307631.809,12661,24666900,0.000246,243988,13840000,15310.06989
22-03-17,2999456.357,11726,26640300,0.000243,344528,13840000,15488.85046
23-03-17,2856731.143,11901,25981500,0.000242,195765,13800000,15662.28738
24-03-17,10892509.92,12796,26269700,0.000264,1776640,13800000,18565.81126
25-03-17,5468506.21,11529,28726800,0.000298,1274960,13790000,16971.80319
26-03-17,11188358.37,15205,32354300,0.000272,1203110,13870000,22332.89884
27-03-17,2893608.493,11800,30181600,0.000254,1082440,13710000,16603.27193
28-03-17,2092598.287,10571,26824700,0.000273,708276,13820000,13863.77235
29-03-17,3127360.557,9110,30343700,0.000272,399763,13720000,11924.35794
30-03-17,4806360.033,9909,30229500,0.000304,1673200,13870000,13635.67085
31-03-17,6776955.395,10882,33095800,0.000328,2525700,13830000,15911.92703
01-04-17,5142825.249,12954,36208400,0.000335,1030280,13790000,17814.4575
02-04-17,9733839.312,13579,36569400,0.000489,4276890,13890000,20061.12044
03-04-17,41606412.69,13572,53320000,0.000427,8704480,13710000,23103.73524
04-04-17,11786224.07,10472,47001200,0.000432,3070990,13800000,14953.20193
05-04-17,19354277.36,10622,47651800,0.000442,1696750,13740000,14565.23765
06-04-17,8088754.861,10127,47611700,0.00045,2738610,13780000,14766.82414
07-04-17,12515477.02,11364,49634000,0.000398,2669470,13830000,16244.328
08-04-17,3259731.372,12169,43374600,0.000432,1249660,13710000,16069.94701
09-04-17,9360714.486,13071,46844000,0.000381,1720980,13760000,18555.88948
10-04-17,3646417.683,13002,41439300,0.0004,1181340,13730000,17810.76726
11-04-17,3665648.891,12303,43149100,0.00039,694146,13890000,15766.85028
12-04-17,4337337.247,11344,42298500,0.000414,940905,13810000,29112.55646
13-04-17,10011207.17,10585,45210200,0.000425,1421850,13690000,75799.03372
14-04-17,18208158.42,10762,47004900,0.000426,1462360,13590000,106474.9645
15-04-17,4896292.434,12832,46292800,0.000418,892718,12860000,161474.883
16-04-17,7551418.178,11662,45481800,0.000454,1835340,13320000,160371.4936
17-04-17,16634296.44,11674,49408700,0.000459,1791470,13760000,120338.4906
18-04-17,8205831.474,10921,50788400,0.000459,1308510,13710000,104606.6266
19-04-17,7201086.188,10582,49657500,0.000448,940790,13760000,108067.0366
20-04-17,8105663.333,9350,48850300,0.000443,1828250,13720000,13277.82129
21-04-17,4305612.14,9383,48022200,0.000451,692528,13670000,12374.29083
22-04-17,2369257.43,10500,49771600,0.000464,853796,13640000,13890.04831
23-04-17,16136122.01,13757,51021700,0.000522,3778280,13820000,19614.20746
24-04-17,5645312.09,11111,57331500,0.000515,1427570,13610000,14841.87334
25-04-17,5532134.695,11241,55755400,0.000527,1498410,13700000,15422.57947
26-04-17,9310004.289,10929,58215800,0.000544,1349140,13790000,15019.06005
27-04-17,11337368.43,11667,59886000,0.000632,4707330,13700000,16833.55643
28-04-17,22996833.51,12915,68183600,0.000678,4437500,13940000,18350.08941
29-04-17,41845955.21,12798,74145500,0.000734,5870990,13680000,19735.9346
30-04-17,20084740.2,13518,80307300,0.000746,3614180,13850000,22298.51797
01-05-17,13361342.71,12571,81468000,0.000686,5565600,13890000,18940.46196
02-05-17,11943026.9,11853,75180000,0.00061,5211860,13890000,18172.43876
03-05-17,15353499.85,10808,66702500,0.000678,4436450,13690000,16270.67876
04-05-17,13946305.27,12629,74923900,0.000744,4638240,13840000,18736.37461
05-05-17,31453905.92,12569,80558300,0.00084,9754900,13820000,18739.05915
06-05-17,28975319.76,13018,91395400,0.001169,14651900,13800000,20853.58175
07-05-17,149758508.1,17415,128440000,0.001305,34856400,13840000,30273.48288
08-05-17,168451394.6,17024,145861000,0.001521,23381600,13690000,28736.45806
09-05-17,131547621,14063,167293000,0.001239,18473100,13780000,24558.84862
10-05-17,128391159.3,12231,136962000,0.001239,9734520,13720000,22119.55174
11-05-17,67408389.17,11066,135097000,0.001212,7417150,13810000,21519.75389
12-05-17,18816472.51,10905,132851000,0.001183,6218670,13830000,16927.53991
13-05-17,69442106.75,11673,129896000,0.001184,5599360,13870000,19590.92928
14-05-17,20472821.09,13544,130990000,0.001274,4752270,13880000,20679.74619
15-05-17,24565276.44,11755,139473000,0.001128,5239470,13810000,19233.15725
16-05-17,44974834.79,11204,122785000,0.001059,7799600,13810000,17650.86357
