date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,1543775.96,16152,123453000,1.4,3570370,32678.28125,8.785772069
02-01-17,1968248.142,16930,122159000,1.44,3098340,33010.15625,9.126870206
03-01-17,3606834.505,17470,125771000,1.49,5508620,32301.40625,9.421558199
04-01-17,5718404.868,18135,130536000,1.76,7173020,33898.28125,10.01664389
05-01-17,4608025.568,18727,154605000,1.61,7339060,32931.875,10.1145324
06-01-17,3618067.07,17886,142529000,1.51,3402610,32394.53125,9.565929967
07-01-17,2464062.522,17191,132231000,1.44,3523930,33308.75,9.143820361
08-01-17,858294.2155,17744,126377000,1.45,1085530,32639.84375,9.416235218
09-01-17,1311247.001,18958,127367000,1.41,1833120,32738.59375,10.11944892
10-01-17,6795870.394,18895,123839000,1.43,1161360,32351.25,10.38812949
11-01-17,3361249.165,15949,125722000,1.18,3176450,32078.75,8.457106816
12-01-17,2255295.042,28083,103032000,1.22,1906150,32298.59375,8.697433458
13-01-17,1032938.195,19107,106440000,1.21,1510150,32537.96875,8.844104783
14-01-17,437462.2647,17553,106020000,1.2,574209,32026.40625,9.261979093
15-01-17,522691.0399,16764,105800000,1.19,748170,31638.28125,8.974013548
16-01-17,1754516.755,17274,104251000,1.18,368937,31619.84375,9.340017869
17-01-17,1316729.26,17722,103624000,1.21,1531790,31458.90625,10.2493291
18-01-17,1074569.285,18089,106445000,1.2,984448,31568.28125,8.874481712
19-01-17,1327725.908,18785,105903000,1.17,686642,32231.25,13.25443642
20-01-17,2158896.429,19564,103069000,1.34,4968780,32512.96875,9.071532657
21-01-17,1670478.386,19831,118279000,1.41,3094200,32157.03125,9.818742682
22-01-17,1643525.705,19672,124520000,1.38,1770900,31874.6875,10.00010568
23-01-17,2177679.814,19657,122297000,1.41,797981,32111.40625,10.07624417
24-01-17,815664.2165,20092,122697000,1.36,921969,32248.4375,10.29614005
25-01-17,1409628.011,19997,119962000,1.29,1373550,32316.40625,10.15440215
26-01-17,742010.8493,18376,113854000,1.33,948543,32192.1875,9.335306498
27-01-17,1158528.227,17351,117575000,1.28,1341760,31166.40625,8.816192659
28-01-17,556627.763,16353,113059000,1.3,513562,31082.34375,8.301172981
