date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,14858705.48,38589,698149000,8.17,14731700,31748.28125,25.26222485
02-01-17,23944162.6,39436,714900000,8.38,14579600,31527.03125,28.11834106
03-01-17,49305306.86,45767,732988000,9.73,33625200,31527.03125,40.2453431
04-01-17,88474855.86,50468,850115000,11.25,41051200,32099.53125,39.50458344
05-01-17,82858782.8,49435,988599000,10.25,41557400,31817.03125,34.8575779
06-01-17,76041694.35,43472,901249000,10.25,29471800,31359.53125,31.3190764
07-01-17,43448890.7,43341,897636000,9.87,23153600,31895,30.18449407
08-01-17,25749771.6,42522,865667000,10.29,16676600,31684.375,33.02422783
09-01-17,45596669.56,46035,904682000,10.33,25718300,31750.3125,35.91916969
10-01-17,48427915.32,48037,909897000,10.55,10879700,31349.375,38.70940401
11-01-17,44863174.4,45062,925320000,9.72,26823500,31522.96875,34.63413431
12-01-17,44877649.67,49879,853638000,9.86,30453800,31556.71875,37.08306066
13-01-17,24381771.62,49841,863241000,9.77,25066600,31730.3125,35.78273198
14-01-17,9049173.353,41253,859971000,9.65,20085800,31478.125,28.73932336
15-01-17,5793124.667,41509,864037000,9.9,14837900,31702.03125,29.98149428
16-01-17,7756031.23,45290,869126000,9.64,14937400,31540.3125,32.52371341
17-01-17,16042361.31,46563,847981000,10.3,18391900,31296.09375,39.42237022
18-01-17,8929309.855,44703,906079000,10.23,10788200,31605.46875,33.98421364
19-01-17,10425505,43465,901484000,10.4,8347550,32123.59375,31.29528202
20-01-17,28605731.59,45344,914696000,10.6,10992800,31121.09375,33.64778008
21-01-17,10320060.25,43218,933405000,10.91,11937600,31523.75,30.66392686
22-01-17,10484686.04,47342,961463000,10.7,8678620,31577.8125,35.76865561
23-01-17,9547710.561,45784,944159000,10.82,7267210,31498.4375,35.01886118
24-01-17,8389731.893,50273,946083000,10.63,8327330,31420.46875,41.16426041
25-01-17,10013802.41,46108,936769000,10.57,6751450,31423.59375,37.75670634
26-01-17,11325018.57,46364,932575000,10.59,8465020,31784.6875,36.45994764
27-01-17,10805926.25,46437,934404000,10.54,7189170,31114.84375,35.3494287
28-01-17,6342138.499,44730,930688000,10.56,6580700,31527.96875,33.34500901
29-01-17,9131709.99,42361,933087000,10.48,4689950,31120,30.61854593
30-01-17,7364361.748,44857,927415000,10.57,8042180,31928.4375,32.79253846
31-01-17,13716542.38,43572,933975000,10.73,11648700,31413.90625,32.00903823
01-02-17,13624063.93,44343,949969000,10.73,12852200,31332.1875,38.11554111
02-02-17,13311055.2,43516,949793000,10.82,10172500,31414.84375,35.45939736
03-02-17,18208374.82,42637,956944000,11.11,12897800,31273.28125,34.05935512
04-02-17,20222194.41,45109,985277000,11.43,14139500,31760.78125,32.97166173
05-02-17,8458640.534,46416,1013400000,11.35,5942960,31598.4375,34.84082133
06-02-17,15651670.2,47190,1005930000,11.39,5695440,31626.71875,35.86561362
