date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,19725204.81,2446,212691000,4.51,11337500,13500,53.22023872
02-01-17,26109050.18,4032,222154000,4.65,14595300,14425,42.07331836
03-01-17,44212322.07,3864,228878000,4.63,10055700,14700,44.82690541
04-01-17,49178040.52,4567,227855000,4.84,13762400,14800,54.08193238
05-01-17,62673781.91,5132,241730000,4.29,19196000,14400,58.44021122
06-01-17,34115261.28,4139,211689000,3.86,11063700,14275,46.10218148
07-01-17,28658629.48,4229,190143000,3.96,14628400,12775,50.63090083
08-01-17,21625085.73,3320,194906000,3.99,11728600,14700,37.17573073
09-01-17,17692076.23,3081,196828000,4.3,11165200,14525,51.21545355
10-01-17,45003820.72,4801,211857000,4.59,15157900,14500,64.31788923
11-01-17,53793323.5,4934,226517000,3.85,21863300,15350,65.57336587
12-01-17,31481104.11,3707,189108000,3.96,13690900,16950,51.86303112
13-01-17,22951240.56,3598,194684000,3.89,7720620,15125,28.09429614
14-01-17,14373164.49,3480,191987000,3.9,3999180,15325,22.85228989
15-01-17,11069037.71,3655,191859000,3.93,9341360,15625,29.05451058
16-01-17,13684923.2,3118,193560000,3.9,8159260,15550,16.31536189
17-01-17,19607155.21,3559,192814000,3.94,4816480,15175,19.1427499
18-01-17,42645795.03,3285,194678000,3.84,4321020,15400,21.38856847
19-01-17,8770667.824,4890,189782000,3.86,4090650,15150,18.98254161
20-01-17,30748212.52,4209,190693000,3.89,3427180,16275,15.43644549
21-01-17,17114260.07,3445,192408000,3.9,2717700,14475,11.93582389
22-01-17,25958372.24,3375,192953000,3.84,2630830,14775,17.74897911
23-01-17,21988097.36,3216,190717000,3.84,2725110,14100,13.79098478
24-01-17,12210380.4,2848,189741000,3.79,2629220,15000,17.07376871
25-01-17,15838191.56,2737,187625000,3.71,6863540,14625,18.04096568
26-01-17,9135541.049,2515,183873000,3.83,5817220,14825,20.60991023
27-01-17,12170181.26,2234,190149000,3.86,5049680,14625,13.76218008
28-01-17,12324134.23,2497,190872000,3.85,3305270,14200,12.91049697
29-01-17,6194562.309,2569,190873000,3.85,2804420,14425,18.21067307
30-01-17,30369087.65,3478,191115000,4.02,10192700,14275,16.41353165
31-01-17,43388200.34,3547,199116000,4.08,15799800,14975,18.97343649
01-02-17,14940747.49,2653,202128000,4.08,7753930,15425,19.76241506
02-02-17,6366197.19,2557,202147000,4.09,5175450,15225,16.7171898
03-02-17,16175553.52,2686,202531000,4.08,8548470,13275,15.00043083
04-02-17,17089153.35,2854,202727000,4.06,6926300,14425,25.85047576
05-02-17,10434006.77,3646,201824000,4.04,4635400,13850,24.60889581
06-02-17,11167725.15,3157,201525000,4.04,4972300,12875,19.95955835
07-02-17,9069563.092,3381,201352000,4.04,6570650,13775,21.10707207
08-02-17,15383721.21,4230,201226000,4.02,7016980,15300,29.33024994
09-02-17,16472998.94,4102,200288000,3.8,21297300,13925,26.62829462
10-02-17,20640810.71,3112,188981000,3.78,7918280,14725,29.50840526
11-02-17,17847538.8,2636,187849000,3.79,3340840,14050,23.25026861
12-02-17,3224974.802,2425,188829000,3.76,2706320,13475,23.60839261
13-02-17,3052788.63,2397,187506000,3.72,4721650,12775,26.21575079
14-02-17,3960319.539,2454,184921000,3.77,3994400,14625,25.77233079
15-02-17,2661728.595,3228,187657000,3.81,2683590,15175,18.12441183
16-02-17,2859124.582,2302,189087000,3.79,3991580,14350,22.85409014
17-02-17,2086588.271,2720,188226000,3.83,4001350,14875,23.12277591
18-02-17,1137137.702,2292,190755000,3.79,3209270,15125,18.78025405
19-02-17,2200961.379,3134,189049000,3.76,2701490,15125,15.59788777
20-02-17,3482478.498,2851,187912000,3.77,3128060,15025,21.89702499
21-02-17,4825542.507,2571,187718000,3.78,4110740,13150,18.19158909
22-02-17,8722283.865,2610,188961000,3.81,4547610,12825,20.96079848
23-02-17,2749548.764,2683,189631000,3.84,4096480,14100,25.36787448
24-02-17,15316861.5,3039,191226000,3.85,6921090,13725,16.5983197
25-02-17,4765899.518,2465,192344000,3.83,3581200,14625,21.21096469
26-02-17,4694060.699,2899,190585000,3.83,2688250,14925,25.35932146
27-02-17,8145821.317,3037,190522000,3.8,3766590,16925,23.17873041
28-02-17,4476759.996,2633,190098000,3.77,4045440,15000,16.27453103
01-03-17,7791499.694,2603,188623000,3.8,4405000,13650,10.49300514
02-03-17,10968980.73,2978,189785000,3.92,9439480,14225,16.30912586
03-03-17,9504020.839,3140,196144000,3.92,7515680,14750,12.56254484
04-03-17,3027205.432,2360,195730000,3.88,3361400,12350,9.05882423
05-03-17,2054348.373,2733,193336000,3.9,2836910,13450,11.8461178
06-03-17,2140301.765,2400,193846000,3.92,4393810,14025,11.11311333
07-03-17,2236164.826,2479,194991000,3.82,5619560,12675,10.58396746
08-03-17,7655174.488,2579,190712000,3.78,4594400,14925,10.62456426
09-03-17,5958042.226,2422,188704000,3.84,3092100,13800,10.36512713
10-03-17,1536979.647,2343,191858000,3.75,7090150,14025,10.1754713
11-03-17,4763508.021,2896,188428000,3.8,3463740,13925,12.73076052
12-03-17,4318151.251,3183,189874000,3.84,3373750,13725,14.1742001
13-03-17,8664016.89,3056,192979000,4.17,22439100,15400,15.65219145
14-03-17,14590340.12,2709,209412000,4.06,7928910,13875,12.02950401
15-03-17,10756754.53,2764,203099000,4.16,6571900,15200,11.65794809
16-03-17,21925219.91,3441,208204000,4.24,12755200,15550,15.59110265
17-03-17,21763626.16,3712,212582000,4.06,11109600,15550,18.74172056
18-03-17,6156252.576,3832,202967000,3.97,12199700,13425,14.77735318
19-03-17,4016953.402,3993,198801000,3.96,6013050,14225,19.67876011
20-03-17,7126110.535,3143,198555000,4.03,4068240,13225,12.73657623
21-03-17,5179873.403,3145,202923000,4.01,4970080,15025,12.53006793
22-03-17,6170966.379,3229,200521000,3.94,5949960,14900,11.92224841
23-03-17,4596724.076,3718,197783000,3.98,3354160,15650,12.24729181
24-03-17,7762101.414,3457,199924000,4.08,12524300,14775,11.57302391
25-03-17,9913318.326,3978,205034000,4.07,7904680,13975,12.74122091
26-03-17,3478389.524,3901,204723000,4.06,3911060,14275,13.0828023
27-03-17,5745902.646,3303,204793000,4.08,5162690,12800,11.05892042
28-03-17,2971911.778,3744,205012000,4.16,4297870,13325,9.97227626
29-03-17,5529239.928,3603,208728000,4.19,8479960,13750,10.22891902
30-03-17,101587424.5,10331,210627000,6.98,191251000,14250,34.44924461
31-03-17,78141824.61,7521,353860000,6.67,98922600,14425,27.45638327
01-04-17,41498510.19,5575,335526000,6.88,57711700,14525,17.7470002
02-04-17,61966828.54,6926,346209000,7.74,88560400,15375,21.82843338
03-04-17,62749883.75,8244,390802000,8.07,114179000,15750,22.44233022
04-04-17,68282276.66,7056,409793000,8.29,129208000,16175,18.90454472
05-04-17,210390942.1,8119,416432000,11.09,217834000,15225,30.24654167
06-04-17,99861065.06,9886,561808000,10.25,194300000,16125,31.26805996
07-04-17,39623630.9,6097,516533000,9.37,94765600,14525,23.38931848
08-04-17,37394198.7,5611,471828000,9.92,58489100,12600,17.85494245
09-04-17,26709923.56,7181,499887000,8.71,90963300,13450,21.57089269
