date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,439.8097917,23,366829,0.007051,41,38393.86514,0.11514847
02-01-17,115746.6826,139,353565,0.006451,814,38312.70694,0.27339386
03-01-17,2818.525136,40,323515,0.007428,1583,38528.89634,0.08166258
04-01-17,773.8176659,31,372757,0.008083,2045,38474.92477,0.05743454
05-01-17,3483.87357,40,406423,0.007522,3386,38150.86404,0.11544055
06-01-17,3783.484952,42,379165,0.009016,1525,38393.8639,0.1160056
07-01-17,2580.19172,51,415686,0.007704,1402,38447.86611,0.11086315
08-01-17,2989.411373,46,387923,0.008311,1841,38474.62577,0.35133215
09-01-17,6194.514436,62,419341,0.009155,2158,38312.69995,0.2782518
10-01-17,1915.028572,44,461346,0.008585,401,38501.84922,0.13440676
11-01-17,6180.756097,47,433245,0.011566,5657,38717.76812,0.21257516
12-01-17,2207.642913,39,583235,0.009083,3722,38555.64907,0.33270502
13-01-17,7202.067304,64,458762,0.013111,4507,38447.64856,0.33332306
14-01-17,3709.106606,64,664840,0.012306,5541,38609.75428,0.22751539
15-01-17,4239.122497,69,622614,0.013576,1882,38474.76133,0.22341538
16-01-17,587.3394891,33,687648,0.014082,2129,38609.87461,0.10798063
17-01-17,3724.909502,44,713993,0.012989,3016,33736.36817,0.11251949
18-01-17,5862.514333,45,659318,0.012297,591,32152.34226,0.1385431
19-01-17,1499.100409,56,626743,0.012734,2994,32107.22732,0.25366125
20-01-17,2449.561113,37,646450,0.01115,2125,32107.37888,0.10010316
21-01-17,3652.681922,50,566622,0.010451,1716,32219.87767,0.1022338
22-01-17,2948.054576,61,531435,0.01131,2173,32218.89134,0.29353106
23-01-17,7817.327585,29,576204,0.011234,346,32106.55508,0.12976834
24-01-17,2446.83066,10,565218,0.011505,405,31769.57117,0.1138594
25-01-17,4117.314285,53,586062,0.013176,5712,32107.34229,0.04252453
26-01-17,74828.03957,51,671671,0.013797,2962,32152.01699,0.06778056
27-01-17,2239.444915,31,709730,0.014768,3929,32174.17107,0.01094365
28-01-17,5804.430037,187,751933,0.014052,3834,32151.73145,0.45099102
29-01-17,6336.890977,48,715442,0.014734,4452,31927.05483,0.12868448
30-01-17,8149.104903,42,750146,0.013334,3621,31836.86643,0.11755174
31-01-17,4607.185512,54,709389,0.01481,4259,32016.9195,0.16276424
01-02-17,4894.276387,34,763475,0.015034,3183,32084.13365,0.14892461
02-02-17,1718.692978,31,757318,0.013459,2753,32106.70895,0.07425182
03-02-17,4298.337746,42,667977,0.014957,1701,32196.76521,0.11829996
04-02-17,2529.141357,32,767825,0.013253,2311,32039.11226,0.07152029
05-02-17,931.6689345,27,680285,0.014766,2953,32106.71782,0.06569692
06-02-17,1223.736753,25,758272,0.014763,3075,32017.12794,0.05599386
07-02-17,5583.471119,39,760055,0.017182,7818,31948.85064,0.13339741
08-02-17,1344.758702,34,883961,0.017307,1815,32039.41843,0.0655732
09-02-17,2472.366363,18,891450,0.01685,3987,31881.94309,0.04194038
10-02-17,1227.451865,8,868238,0.01853,6282,31994.36847,0.01530757
11-02-17,18819.80118,81,954412,0.026742,21982,31994.25748,0.52657438
12-02-17,4676.793871,32,1376640,0.024644,7382,32197.35269,0.13121412
13-02-17,41548.27508,113,1270220,0.026304,15915,31859.70217,0.28212898
14-02-17,3659.415622,36,1358260,0.024586,6774,31764.90536,50.07870358
15-02-17,8173.994619,32,1215550,0.023599,13434,32174.83046,0.15343707
16-02-17,104863.8246,73,1209670,0.02364,4277,29632.40119,0.0828608
17-02-17,15765.31043,35,1217210,0.022661,7742,25757.89613,0.08787835
18-02-17,32637.01485,94,1167720,0.023073,3495,25487.94836,0.03581661
19-02-17,968204.9418,69,1190520,0.024121,3091,25505.36579,0.119006702
20-02-17,10537.20126,127,1208650,0.025621,4177,25451.16737,0.31785831
