date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
01-01-17,2901.365565,369,1118600,0.034231,2627,27200,0.1585
02-01-17,13770.94225,382,1098210,0.036947,7080,31300,0.238347
03-01-17,5973.443601,295,1185960,0.037712,5530,27200,0.445
04-01-17,9173.330382,267,1199450,0.038137,14414,27900,0.164
05-01-17,12915.79113,330,1227510,0.033922,14217,29250,1.42438648
06-01-17,11355.56939,245,1094480,0.030544,10637,26650,0.1975
07-01-17,5992.8671,394,984853,0.029559,6088,29750,0.3319
08-01-17,3780.06198,203,952975,0.02952,1666,29800,0.2011
09-01-17,2181.91989,259,953837,0.029709,4871,25800,0.54757
10-01-17,3565.475904,366,959210,0.031161,3440,31900,0.1956
11-01-17,4731.115865,321,1007500,0.027955,3416,26450,0.29590001
12-01-17,2241.233767,352,903793,0.028633,5778,28250,0.17265
13-01-17,1186.556257,402,928405,0.028514,2387,30700,0.3801
14-01-17,2985.553908,376,925689,0.031958,9144,27800,0.39302515
15-01-17,3327.825517,421,1035850,0.033463,3900,30700,0.28950001
16-01-17,7395.064535,420,1086800,0.03376,5403,29650,0.5498
17-01-17,12799.63514,354,1096310,0.030506,12753,27950,0.525
18-01-17,5832.54389,313,992988,0.031524,9471,27550,0.805691
19-01-17,7355.3367,266,1031660,0.033712,15136,30050,0.1765
20-01-17,4892.269029,233,1098170,0.03335,8607,26000,0.1535
21-01-17,4899.423877,309,1087680,0.031204,7757,30450,0.39460001
22-01-17,3545.454305,272,1024350,0.032666,4248,29500,0.06306207
23-01-17,8351.748501,290,1068550,0.033037,6096,30950,0.3414
24-01-17,5285.401124,269,1072160,0.030921,5559,25050,0.1411
25-01-17,4165.291506,244,1012420,0.031362,2805,31500,0.0731
26-01-17,3468.759587,243,1030060,0.030766,6634,29250,0.0644
27-01-17,8625.963162,226,1008840,0.035593,11412,26150,0.1601
28-01-17,41252.32459,397,1168050,0.039254,91264,33400,0.50940394
29-01-17,112568.0397,400,1285420,0.045117,175991,29700,1.2598
30-01-17,36180.91005,310,1483490,0.044958,43549,26200,0.8614
31-01-17,18338.59528,314,1478940,0.04188,48947,28200,0.48350001
01-02-17,5766.938917,356,1392610,0.045227,16477,27450,0.1897
02-02-17,36385.09003,396,1482690,0.053118,100133,30750,0.361
03-02-17,62719.1479,531,1745270,0.053806,87749,31350,0.7672
04-02-17,13539.34986,401,1778760,0.047191,54847,27300,0.4827
05-02-17,4746.130352,446,1559380,0.045448,18407,29300,0.39657619
06-02-17,8953.199876,359,1502080,0.045512,27631,26650,0.32264959
07-02-17,6416.953887,459,1525770,0.043689,17814,27950,0.431
08-02-17,148256.5174,662,1447820,0.053088,202963,30850,0.84245421
09-02-17,15332.15415,431,1756470,0.048624,43721,27700,0.4071322
10-02-17,8840.548891,515,1616160,0.048405,14127,29900,0.32718958
11-02-17,25587.24152,453,1608620,0.049571,21697,29100,0.4952058
12-02-17,5023.974528,301,1649210,0.046234,16478,25050,0.1406
13-02-17,2716.969273,351,1501540,0.039708,33311,31800,0.2655
14-02-17,8266.379573,390,1322230,0.040734,15412,25900,0.2023
15-02-17,7663.906015,400,1357970,0.040958,4866,28750,0.11030001
16-02-17,20918.07545,465,1366650,0.04449,43063,31300,0.3742
17-02-17,15486.2481,382,1485660,0.044691,12790,29300,0.3124
18-02-17,10203.53759,317,1482970,0.040932,22016,27300,0.2523
19-02-17,4362.222298,359,1369570,0.045839,15925,30200,0.3635
20-02-17,3941.347226,345,1532970,0.043365,9111,27700,0.1748
21-02-17,28493.94859,371,1452540,0.041221,13335,29150,0.2184
22-02-17,7357.922827,400,1382650,0.038861,13311,29000,1.25607054
23-02-17,11526.45424,366,1304250,0.038765,13070,24900,1.1367652
24-02-17,9047.328013,449,1293990,0.037601,17577,32250,0.61578073
25-02-17,17602.96876,436,1263770,0.038653,11075,27950,2.01384409
26-02-17,13310.89714,447,1301220,0.042655,20417,29350,1.86862618
27-02-17,53090.44536,523,1550060,0.041977,52537,29050,2.55480628
28-02-17,27329.33524,406,1415300,0.042321,8601,26100,0.54188744
01-03-17,10759.47545,435,1440430,0.03998,14093,27350,0.330726
02-03-17,15404.64363,408,1336110,0.039273,12987,28350,0.416248
03-03-17,3405.350729,387,1326780,0.041581,8262,29700,0.722302
04-03-17,15126.26342,368,1406320,0.041882,1913,27950,1.15214911
05-03-17,12855.70578,416,1417210,0.039244,6068,28850,0.78444831
06-03-17,6248.838746,441,1329490,0.038358,14635,29700,0.81191093
07-03-17,2402.813394,394,1299780,0.038661,8595,30050,0.195962
08-03-17,11949.61715,354,1284450,0.036657,4534,26800,1.75776337
09-03-17,6857.100514,448,1252600,0.037708,4190,28550,1.04951104
10-03-17,6841.497609,471,1282460,0.03429,13266,30200,1.35786047
11-03-17,4428.970104,314,1165200,0.037286,6289,26350,0.25084712
12-03-17,3048.419729,409,1290410,0.037845,6835,28450,1.39370065
13-03-17,6578.490732,421,1278690,0.039649,12101,27350,0.62393736
14-03-17,8232.029648,469,1347750,0.041265,9208,32400,0.59442408
15-03-17,33501.99089,482,1397650,0.050421,36159,28800,1.43470653
16-03-17,56597.99189,413,1713770,0.046879,26131,26700,0.59933795
17-03-17,6435.000695,366,1592470,0.044116,6904,29700,1.49981709
18-03-17,4306.518357,351,1500680,0.037326,11717,26050,2.29119475
19-03-17,14794.15409,395,1303850,0.046107,18759,30150,0.98691664
20-03-17,8937.421936,509,1565270,0.046678,17861,28800,1.2627325
21-03-17,3086.75629,451,1610780,0.046898,11141,31350,2.0630389
22-03-17,14036.42756,397,1594880,0.04949,29729,28150,1.31388802
23-03-17,131349.1062,462,1681740,0.049945,53747,28250,1.21832154
24-03-17,101205.0992,441,1696640,0.0493,44545,29850,1.32153021
25-03-17,21030.16212,444,1680080,0.058146,62127,29350,1.66856911
26-03-17,123459.726,498,1972680,0.072937,130744,30050,3.49735563
27-03-17,304565.8679,527,2484090,0.066384,119597,28950,2.34268286
28-03-17,24186.58061,526,2324730,0.061611,50638,25200,4.87859358
29-03-17,937388.9764,690,2079550,0.078421,409102,31600,4.20578841
30-03-17,240928.1124,489,2711940,0.079512,250432,29750,2.59627064
31-03-17,98934.93809,344,2607420,0.076452,59666,25300,2.10604073
01-04-17,162848.7627,389,2536340,0.07338,40489,29250,1.34214091
02-04-17,31682.91063,343,2406680,0.074206,47581,30500,0.77197601
03-04-17,70591.88393,414,2420130,0.074826,116057,29150,2.65577495
04-04-17,83450.32681,355,2488760,0.072057,131121,27950,1.42320534
05-04-17,115098.3931,331,2411120,0.071784,90198,28000,1.55771302
06-04-17,26276.53246,344,2394400,0.068562,85970,31800,1.61536548
07-04-17,57661.391,347,2286740,0.064081,83195,26850,0.707476
08-04-17,11599.72949,229,2136320,0.06499,49436,26950,0.397394
09-04-17,676766.8612,455,2169590,0.124943,1014370,33300,3.71496907
10-04-17,6004455.455,1880,4324300,0.170914,10248400,31750,20.02326115
11-04-17,1278049.302,522,5722920,0.116845,2722700,33950,2.74364558
12-04-17,596457.7321,534,3878770,0.113613,1159060,23600,3.63322225
13-04-17,84471.91015,485,3793040,0.099012,604345,27600,2.86665931
14-04-17,151783.3579,392,3296880,0.098355,255088,29750,1.13303029
15-04-17,36751.47818,343,3318920,0.100721,202521,26950,0.874516
16-04-17,289788.0568,350,3366710,0.103891,253706,29250,0.804659
17-04-17,1077401.376,460,3430180,0.110827,657747,29750,2.38108135
18-04-17,82819.2762,355,3726500,0.109488,292489,30400,0.68165287
19-04-17,95644.53561,340,3681310,0.104754,267574,27000,0.77740057
20-04-17,40238.97567,336,3498600,0.093282,271464,27800,0.44459815
21-04-17,63545.95977,463,3160250,0.105869,393063,30450,2.11153422
22-04-17,37270.20338,348,3487240,0.104513,117655,27250,1.14449681
23-04-17,24271.50372,417,3470830,0.09791,117824,28550,0.92542267
24-04-17,20195.89383,360,3288830,0.099953,88929,29600,0.61185318
25-04-17,35430.17407,348,3345260,0.099166,89400,28600,0.702151
26-04-17,54297.8102,404,3303720,0.106406,237782,29100,1.4622142
27-04-17,45372.25388,421,3508080,0.111206,197063,28950,1.159199
28-04-17,34424.26299,366,3763350,0.112228,181020,30150,0.933435
29-04-17,55718.03684,345,3746510,0.112752,220846,26700,1.08245407
30-04-17,113524.5563,439,3774900,0.132189,445568,30150,3.57463128
01-05-17,116461.7097,435,4627760,0.13679,518275,28100,3.11713073
02-05-17,118789.078,352,4502600,0.130821,229557,28050,1.36116842
03-05-17,335779.7736,495,4367640,0.161728,921344,30200,3.04340802
04-05-17,1454076.491,617,5346570,0.193472,1369680,31150,4.71254133
05-05-17,1926092.569,528,7180310,0.237876,1062880,29000,2.03175821
06-05-17,2678410.398,602,7904790,0.28133,1251790,29450,4.43882428
07-05-17,8688709.115,953,9397690,0.326719,4469260,30950,4.50484867
08-05-17,762361.4639,794,10735800,0.360715,3465810,29300,5.65454578
09-05-17,311706.2772,723,11995200,0.264372,1112700,27250,2.58178391
10-05-17,415868.8007,567,9020990,0.266419,546401,28950,1.89890125
11-05-17,140163.3771,476,8913540,0.227547,658831,26050,1.61631422
12-05-17,105824.4555,425,7610450,0.250703,767954,29200,1.51599316
13-05-17,197069.4489,568,8310560,0.264966,681582,30300,2.183004
14-05-17,143974.444,512,8883990,0.251948,404335,27900,1.48623354
15-05-17,113003.8007,528,8396230,0.233257,376280,29550,3.91394882
16-05-17,252374.3846,604,7868060,0.278268,1256830,27050,1.99921088
17-05-17,538953.8605,782,9315180,0.376297,2240420,30650,2.53225675
18-05-17,2962970.753,993,12495000,0.354637,1829760,30500,2.13532391
19-05-17,2092359.552,672,11859700,0.390635,957838,28700,1.24911748
20-05-17,1754979.278,602,13012000,0.394792,648178,30550,2.75605144
21-05-17,1064464.651,662,13049400,0.422775,1330440,24800,2.43419848
22-05-17,3339088.08,630,14247200,0.362279,1336590,26350,2.03269943
23-05-17,1041183.984,608,12005600,0.41101,1118820,27200,2.59408894
24-05-17,5229954.664,631,13828400,0.415591,959507,28150,4.72881662
25-05-17,501743.0089,586,13893100,0.360031,825101,30900,3.13159578
26-05-17,208093.7389,541,12006400,0.305433,468534,28950,1.75423427
27-05-17,278425.9858,575,10285400,0.335881,814425,31050,2.28098361
28-05-17,252361.0325,519,11260100,0.341637,669570,27650,1.67414261
29-05-17,175546.4937,411,11545100,0.341938,289002,29950,1.300375
30-05-17,236244.3895,420,11264000,0.34345,823234,26400,2.039575
31-05-17,142451.0699,407,11471300,0.340373,351347,27700,1.732943
01-06-17,385947.9459,535,11438800,0.370123,687742,30750,1.69235391
02-06-17,1275149.083,507,12340300,0.390571,542571,28450,1.90834405
03-06-17,2165294.126,592,13057000,0.465248,1461800,29400,2.36128718
04-06-17,4993669.157,782,15522000,0.58366,3940540,31550,3.6358508
05-06-17,5378314.317,854,19336300,0.549386,2619000,26100,3.40533602
06-06-17,559638.9214,793,18538800,0.615905,2172950,29600,1.70655485
07-06-17,1389419.662,769,20536100,0.600054,1806980,27750,2.67007976
08-06-17,39236821.41,745,20203600,0.675332,1466890,31050,2.49680352
09-06-17,32514900.15,1767,22596700,1.11,15540500,32850,6.21112461
10-06-17,3733915.765,1208,36966400,0.919354,7187370,25250,4.04900117
11-06-17,815874.4154,886,30699200,0.88183,2872580,26600,5.22823813
12-06-17,563107.7616,883,29564300,0.766698,1986390,29500,5.91145134
13-06-17,373596.0354,734,25431900,0.819608,1792590,27300,1.94653059
14-06-17,885764.0612,841,27305300,0.711495,1325780,28150,2.70161025
15-06-17,571935.0983,703,23801300,0.746889,1728280,31600,2.26423728
16-06-17,2110470.306,1102,24763600,0.878557,5581780,28750,2.93872175
17-06-17,710813.888,667,28920300,0.853903,1756650,30250,2.00121758
18-06-17,1021801.461,599,28399300,0.819777,1252020,27050,1.32166576
19-06-17,737163.2159,723,27516700,0.883738,2114270,30900,2.70995699
20-06-17,1156615.516,1055,29680900,0.960425,5323070,30250,3.00652091
21-06-17,703680.8425,745,32449100,0.888882,2416220,28900,1.70178277
22-06-17,418451.1324,774,29715200,0.950535,2075590,30350,3.21663968
23-06-17,902635.2893,954,31806000,1.02,2948600,31600,2.67763984
24-06-17,2175022.561,937,34314700,0.98077,4553670,26650,3.67243759
25-06-17,712817.3041,744,36256800,0.936577,2740800,31350,1.99198933
26-06-17,792831.0678,903,34863100,0.831968,3297130,28100,3.2975006
27-06-17,435314.7316,808,30852600,0.754849,1932140,25800,1.96532903
28-06-17,565326.6526,811,28390400,0.872743,2571050,31500,4.33448153
29-06-17,742948.6657,789,32337700,0.812654,2016130,27600,2.36206968
30-06-17,389465.2383,639,30102100,0.799946,1331040,32100,1.32172585
01-07-17,383589.3122,640,29603600,0.674968,1428090,25750,2.07137425
02-07-17,443796.4714,598,25183200,0.689287,1329030,28400,1.52497459
03-07-17,285452.1208,636,25393000,0.681436,1050570,30600,2.46536988
04-07-17,266882.388,625,25256700,0.72182,1575550,28700,1.71724833
05-07-17,199021.3032,498,26674800,0.701662,1013620,28300,0.83202005
06-07-17,219273.3998,685,26058100,0.610375,939554,28050,1.99989357
07-07-17,539856.5411,706,22816900,0.473404,1560480,27250,1.34001997
08-07-17,540503.952,754,17555700,0.490562,1348390,29900,1.49528686
09-07-17,287465.7683,604,18309200,0.465377,962069,27800,1.33977873
10-07-17,455657.6436,822,17270100,0.35144,1481270,30400,2.36096492
11-07-17,676034.5433,914,13094100,0.325847,1586890,28900,2.44204468
12-07-17,556146.6675,896,12066200,0.438397,1629830,29450,2.0808169
13-07-17,310308.2424,681,16210100,0.399264,996086,28300,1.99566984
14-07-17,149070.3951,589,15009000,0.365534,481722,29100,1.15835388
15-07-17,157185.8601,614,13757200,0.332786,453459,30750,1.29932013
16-07-17,195425.0325,614,12324500,0.327066,515271,29550,1.41621425
17-07-17,182403.6138,652,12169100,0.381752,535111,28800,1.47578757
18-07-17,169828.6886,588,14257300,0.452451,831284,30100,1.19393471
19-07-17,908759.7891,878,16958700,0.501629,2382990,30450,2.37360384
20-07-17,656814.4899,1014,18674200,0.543859,2487150,30500,2.06532289
