date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,109085.7024,414,33087800,0.00344,78880,0,3860.764592
02-01-17,63696.18716,452,31006400,0.003377,106864,0,5726.070539
03-01-17,97519.06809,436,30396000,0.003573,70691,0,4941.399275
04-01-17,293103.0085,502,32151100,0.003766,347165,0,9976.505953
05-01-17,261919.4144,600,34123700,0.003638,566753,0,15712.37248
06-01-17,163910.8785,525,32693700,0.003329,184896,0,11274.86842
07-01-17,164254.1614,471,29854700,0.003508,289376,0,10616.6425
08-01-17,55341.50332,444,31574500,0.003421,82314,0,6604.302512
09-01-17,127126.1013,433,30815200,0.003608,99833,0,4622.143035
10-01-17,63662.41749,411,32458000,0.003601,75660,0,4208.406936
11-01-17,182107.0486,481,32406900,0.003297,115847,0,8433.389989
12-01-17,83110.10131,460,29643500,0.003489,104014,0,7667.112942
13-01-17,96016.18948,443,31385200,0.003592,84278,0,6629.986587
14-01-17,109921.4356,455,32410500,0.00372,66880,0,6261.154905
15-01-17,60906.60379,465,33470900,0.003667,72802,0,5055.663764
16-01-17,36319.05309,395,33006100,0.003669,27101,0,4073.894252
17-01-17,36873.20132,475,33025300,0.003524,106348,0,7027.922603
18-01-17,233551.9707,450,31752200,0.003552,84317,0,6057.568983
19-01-17,43712.7654,415,31962200,0.003585,53326,0,3888.117923
20-01-17,52327.98961,430,32249200,0.003545,61333,0,4930.363624
21-01-17,44770.33515,423,31909200,0.003691,46416,0,4985.676451
22-01-17,84433.272,434,33176600,0.003696,47775,0,5275.446018
23-01-17,58362.11224,429,33289600,0.003689,67803,0,4690.502017
24-01-17,80356.32865,407,33236100,0.003902,69622,0,4673.541158
25-01-17,101803.292,511,35127500,0.004543,227633,0,7944.075877
26-01-17,374730.3137,668,40937400,0.005204,503776,0,15409.825
27-01-17,327625.547,678,46780000,0.004994,624751,0,14323.28142
28-01-17,65042.83044,533,44998100,0.004815,223403,0,5998.425926
29-01-17,73642.78153,476,43394900,0.005164,286060,0,6189.548513
30-01-17,67447.98018,464,46560200,0.005252,99034,0,5159.825117
31-01-17,88636.53398,535,47246900,0.005237,175057,0,6329.834772
01-02-17,113377.9249,536,47197000,0.005487,103152,0,5892.692207
02-02-17,198315.6949,560,49383300,0.006294,293401,0,10258.05604
03-02-17,331379.6177,583,56648900,0.006938,570173,0,8863.74566
04-02-17,567794.8969,564,62546400,0.007173,439713,0,8875.935278
05-02-17,148422.2904,608,64686200,0.006389,470994,0,7931.353358
06-02-17,204391.9479,576,57508500,0.006039,345827,0,10389.4388
07-02-17,283256.483,542,54395600,0.006917,521704,0,8947.975192
08-02-17,142581.2095,524,63324500,0.006661,301717,0,7309.61997
09-02-17,122035.0698,516,60055100,0.006323,268138,0,7312.312512
10-02-17,84993.35957,478,56768200,0.006338,177550,0,6335.35017
11-02-17,36200.75138,456,57016000,0.006992,180360,0,4230.417532
12-02-17,159663.5781,436,62782200,0.0069,231800,0,5781.571252
13-02-17,309128.1267,591,62188800,0.006635,254472,0,9430.93275
14-02-17,80244.13877,603,59411200,0.00673,117528,0,6737.628299
15-02-17,103556.5162,505,60562400,0.007093,115753,0,5566.355426
16-02-17,242840.9387,572,63727000,0.007039,219826,0,9179.373752
17-02-17,175474.5163,585,63265100,0.007113,174473,0,8924.178091
18-02-17,244541.3522,567,64155300,0.006863,170619,0,8871.129746
19-02-17,217214.0591,617,61765100,0.006352,268886,0,8271.640282
