date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,0,2497,188431000,13.97,3923550,6556.27626,26.25954002
02-01-17,0,4241,192331000,16.05,12171300,6939.053107,52.50079329
03-01-17,0,4254,219693000,16.09,16381900,6714.120367,47.51749834
04-01-17,0,4419,220820000,18.53,10179100,6352.703205,47.00899498
05-01-17,0,3597,253879000,16.19,8528910,6401.596967,42.39823337
06-01-17,0,3422,221476000,14.03,9256850,6294.301662,62.34433782
07-01-17,0,2747,192770000,13.06,9904390,6800.310024,28.32807641
08-01-17,0,2798,178079000,13.47,3741330,6411.789375,30.12162532
09-01-17,0,2763,184874000,13.74,4649000,6194.918959,33.50924126
10-01-17,0,1982,187430000,13.39,3943650,6312.507242,47.56596997
11-01-17,0,1787,183143000,11.64,4338380,6743.527445,46.32234557
12-01-17,0,2324,158831000,11.85,2923060,6499.073195,64.85390457
13-01-17,0,1956,162603000,11.27,6063910,6027.910783,59.0351233
14-01-17,0,3049,155007000,11.09,3439220,6388.309925,68.78006388
15-01-17,0,3305,152277000,10.76,7417420,6146.043575,77.55953425
16-01-17,0,2715,148169000,10.64,3507560,6645.205216,74.17268626
17-01-17,0,2813,147101000,12.39,4403350,6129.250416,70.70821088
18-01-17,0,2826,171153000,12.05,4232060,6513.30547,79.19703814
19-01-17,0,2485,166091000,12.15,3546870,6382.159479,66.35144935
20-01-17,0,2953,167736000,11.91,3768400,6617.168172,73.82196292
21-01-17,0,2657,164256000,12.03,2878010,6291.764896,67.32091268
22-01-17,0,2596,165727000,12.18,2588540,6000.111218,65.23863819
23-01-17,0,2601,168236000,12.25,2414740,6330.244487,63.31603717
24-01-17,0,2560,169206000,11.81,3121430,6489.244574,62.38655118
25-01-17,0,2509,163221000,11.83,1897140,5874.439135,67.88679298
26-01-17,0,2947,163778000,11.98,2172210,6543.463446,64.62212072
27-01-17,0,2770,165604000,12.1,4346850,6223.39608,61.65893492
28-01-17,0,2391,167743000,12.85,6585960,6525.13968,62.02363244
29-01-17,0,1597,177874000,12.66,3027920,6140.63729,45.90535602
30-01-17,0,2715,175164000,12.71,2171460,6212.641138,52.74603056
31-01-17,0,2413,175986000,12.99,8919760,6565.271301,63.35072409
01-02-17,0,2452,179699000,13.27,2715170,6003.178876,63.61575275
02-02-17,0,2428,184201000,13.14,2841870,6282.230419,61.68746161
03-02-17,0,3103,182089000,12.86,5732620,6270.125623,81.39546794
04-02-17,0,2854,178965000,12.61,3475030,6222.447429,68.72618509
05-02-17,0,2013,175095000,12.8,2054440,6008.391522,56.62764445
06-02-17,0,2323,178164000,12.88,2124790,6431.58235,66.6210474
07-02-17,0,2563,179398000,12.65,3523120,6191.146144,76.60488618
08-02-17,0,2540,176193000,12.8,2124700,5989.671815,72.69939824
09-02-17,0,2541,178405000,12.12,4268990,6384.80665,74.21065513
10-02-17,0,2768,169520000,11.98,2472350,6168.143296,71.58896632
11-02-17,0,1777,166808000,12.24,2190900,6144.954472,50.10918727
12-02-17,0,2252,170839000,12.33,2154250,6069.460013,64.96906349
13-02-17,0,2541,171557000,12.2,1687590,6107.882732,72.22531498
14-02-17,0,2417,170135000,12.99,4166850,6232.483145,67.13739044
15-02-17,0,2914,181497000,13.62,4811600,5980.794479,76.45758015
16-02-17,0,2483,189926000,13.1,3256190,6158.136537,66.14908802
17-02-17,0,2439,182332000,13.3,1711010,6294.99468,69.04204392
18-02-17,0,2197,186995000,13.36,1871110,6352.660853,63.03170954
19-02-17,0,1770,186681000,12.99,1663440,5813.141995,49.60546079
20-02-17,0,2595,181531000,12.22,8429880,6173.29759,72.03425706
21-02-17,0,2533,169036000,12.34,4476160,6019.933471,73.22146555
22-02-17,0,2276,171785000,12.77,2486660,6285.443061,67.17276301
23-02-17,0,2260,178859000,12.87,2875250,6174.724461,65.57722876
24-02-17,0,2592,180492000,11.92,8707610,6063.642224,73.57106324
25-02-17,0,2176,167003000,11.85,3102200,5346.777143,62.68543886
26-02-17,0,2144,165867000,11.89,2039860,6223.63357,60.72328279
27-02-17,0,2508,166428000,11.96,1343950,6488.453277,73.32507621
28-02-17,0,2446,168185000,12.28,4316810,5887.918763,65.65451578
01-03-17,0,2643,172621000,12.33,6449830,5535.557398,73.78469304
02-03-17,0,2579,172124000,13.11,7161980,6109.287542,73.89894967
03-03-17,0,2636,183919000,13.91,7926590,6017.890745,71.46281371
04-03-17,0,1860,195774000,13.67,2239270,5739.509823,63.23728323
05-03-17,0,2065,192123000,15.18,5455280,5895.661957,57.79712349
06-03-17,0,3138,214098000,15.41,6913360,6242.729366,79.51258105
07-03-17,0,2343,217011000,13.53,5928550,6091.542164,66.23931408
08-03-17,0,2477,190803000,12.47,4244610,5808.427086,71.27525657
09-03-17,0,2365,175497000,13.03,3489930,5788.036103,66.1119368
10-03-17,0,2530,183864000,13.21,10802800,6273.977478,73.49051031
11-03-17,0,2319,184883000,14.69,6499310,5930.080459,64.01819575
12-03-17,0,3117,207508000,16.79,17931000,6025.930399,89.73880095
13-03-17,0,4065,236958000,18.13,19566500,6055.703849,106.1395539
14-03-17,0,2976,255287000,17.76,10072300,6067.912564,82.84683507
15-03-17,0,2863,251092000,18.98,12265200,5896.532808,77.4321322
16-03-17,0,3951,268957000,22.48,31673800,5859.720121,99.36617886
17-03-17,0,4186,318778000,22.35,36529400,5504.845114,93.88532597
18-03-17,0,3091,314731000,20.07,16830500,5838.748701,83.86947361
19-03-17,0,3832,284253000,23.29,22162500,5830.831391,84.21977281
20-03-17,0,2522,329623000,22.51,10860900,5893.178419,72.80368871
21-03-17,0,3232,320139000,21.29,18555800,5818.64594,94.69249807
22-03-17,0,3470,302815000,21.42,9699960,6064.911973,84.21875096
23-03-17,0,2659,303834000,21.82,7419900,5616.475483,79.03447325
24-03-17,0,2954,309519000,21.1,13807600,5608.159301,76.11775349
25-03-17,0,3230,298839000,20.14,10858900,5897.305618,76.71062958
26-03-17,0,2683,285884000,19.61,7408990,6084.194212,78.9396129
27-03-17,0,2871,280203000,19.66,11887200,5530.639011,83.18158314
28-03-17,0,2710,276545000,19.81,10061200,6183.43914,77.4088694
29-03-17,0,2848,282266000,21.14,6704720,5915.40479,100.7846115
30-03-17,0,3158,299146000,20.88,5993880,5368.916521,78.80825328
31-03-17,0,2826,295489000,20.54,6955980,5788.5705,156.2002054
01-04-17,0,2541,291737000,21.5,7622780,6105.479759,111.4899502
02-04-17,0,2156,304574000,20.14,7427960,5498.037418,67.81069295
03-04-17,0,2766,286817000,20.33,7080440,5816.860573,202.71208
04-04-17,0,3040,289275000,21.35,7062530,5716.436051,201.7674856
05-04-17,0,3255,303396000,19.62,9188050,5829.505629,224.1240395
06-04-17,0,2305,278971000,19.27,11553100,5927.50072,68.58741784
07-04-17,0,2697,275287000,19.39,5499430,5317.70697,174.2089645
08-04-17,0,3143,275199000,20.83,6218750,6242.182271,243.9209911
09-04-17,0,2572,297207000,20.68,5711770,6131.759257,182.2990114
10-04-17,0,2545,295155000,21.83,6591730,5723.952486,154.4739629
11-04-17,0,2599,311171000,21.36,5356450,5494.106902,148.6334592
12-04-17,0,2550,304441000,21.76,6401630,5722.705163,121.9816864
13-04-17,0,2268,309846000,21.48,5980210,5288.556471,109.3913197
14-04-17,0,2565,306779000,20.59,8949460,5725.330499,79.90835475
15-04-17,0,1892,291985000,20.71,4483370,5318.003413,45.0835655
16-04-17,0,1897,296093000,20.46,4222960,5311.340601,51.14544433
17-04-17,0,2341,292659000,20.56,6055450,5714.121523,55.38369184
18-04-17,0,2503,293752000,21.06,4459260,5651.733274,59.15246738
19-04-17,0,2465,301594000,20.39,5877830,5494.40271,57.65473426
20-04-17,0,2558,292149000,20.24,6216400,5997.483366,58.34647053
21-04-17,0,2348,286297000,20.29,6704090,5243.574195,63.99077793
22-04-17,0,2133,290548000,20.12,5266460,6004.551608,54.00521821
23-04-17,0,2217,288495000,19.72,4155640,5377.337946,62.74574991
24-04-17,0,2549,283007000,19.56,4584190,5863.407938,55.88445088
25-04-17,0,2368,281316000,19.65,5148290,5456.802846,59.03793077
26-04-17,0,2536,282326000,19.37,6027790,5581.360706,63.07304339
27-04-17,0,2810,279099000,21.21,12843800,5893.128372,67.04842559
28-04-17,0,2543,304527000,22.35,10457300,5698.596734,61.66486876
29-04-17,0,2318,321539000,22.76,10461300,5441.155648,60.59867104
30-04-17,0,2617,326962000,23.72,10910000,5743.546108,77.63077082
01-05-17,0,2503,341171000,22.77,14214000,5310.332385,71.81825193
02-05-17,0,2468,327660000,23.04,7486110,5558.986511,59.93536299
03-05-17,0,2670,331818000,25.2,12602800,5659.615233,64.56127037
04-05-17,0,3007,362797000,25.99,13585800,5627.708698,89.36515606
05-05-17,0,3566,376183000,28.45,24376200,5489.120819,90.03291688
06-05-17,0,2655,410681000,28.98,14355000,5405.588198,60.77711889
07-05-17,0,3212,417648000,32.78,31328600,5857.007243,93.08641032
08-05-17,0,3232,482431000,30.47,25549000,5267.621907,74.25281325
09-05-17,0,3821,439752000,28.66,21083700,5540.442819,100.5395503
10-05-17,0,3185,411189000,29.84,12732500,5429.704539,69.0345982
11-05-17,0,2733,432298000,29.51,9288200,5918.170445,64.67275276
12-05-17,0,2354,427789000,28.68,8023910,5253.895847,58.4544781
13-05-17,0,1884,413130000,28.47,7213280,5519.938503,47.8989857
14-05-17,0,1911,412198000,28.53,7419170,5307.882414,54.29561046
15-05-17,0,2430,412305000,27.79,8160330,5671.546574,66.27173137
16-05-17,0,2141,401220000,26.26,9801320,5074.209527,54.55129836
17-05-17,0,2552,381592000,26.93,10576800,5673.08904,63.31365407
18-05-17,0,3047,390685000,30.33,15586800,5398.508102,89.91037353
19-05-17,0,2585,439025000,31.87,10692300,5445.865028,73.20859969
20-05-17,0,2864,460963000,35.1,23733000,5722.914817,86.11779066
21-05-17,0,2743,507841000,34.64,10952100,5369.727841,81.20835594
22-05-17,0,3437,504584000,36.17,28469700,5265.423929,90.11490206
23-05-17,0,4117,526642000,55.62,68629500,5148.951558,134.0825614
24-05-17,0,4352,817013000,45.38,95915700,5713.460519,126.3087881
25-05-17,0,4323,660745000,40.12,52485500,5419.211131,188.2038482
26-05-17,0,3756,578017000,38.71,24735300,5557.16373,114.3345016
