date,txVolume_USD,txCount,marketcap_USD,price_USD,exchangeVolume_USD,generatedCoins,fees
01-01-17,891081.77,1540,16468900,48.47,530961,7162.481381,0.20160658
02-01-17,868327.6805,1832,16919100,49.79,795244,7112.490584,0.19023091
03-01-17,1082959.873,1745,17880500,50.04,1131760,7175,0.35174514
04-01-17,1310176.657,1841,18137500,57.03,1998750,7212.5,0.39565199
05-01-17,1394181.873,1892,21251900,49.84,2845970,7125,0.56333634
06-01-17,1215669.603,1628,18845700,47.46,1202660,7037.5,0.21706135
07-01-17,1379822.904,1579,18393900,47.38,1084960,7275,0.19093855
08-01-17,1064481.182,1545,18617800,46.11,831332,7187.5,0.20696218
09-01-17,932179.3668,1547,18441800,46.1,668273,7125,0.23520151
10-01-17,815444.6473,1532,18817000,45.66,749575,7075,0.21263227
11-01-17,956745.2349,1471,18903600,40.05,1211260,7175,0.16045018
12-01-17,1255570.301,1666,16884400,42.81,1387920,7187.5,0.20725452
13-01-17,1087633.787,1565,18284300,43.21,691680,7312.5,0.1586971
14-01-17,808190.9506,1380,18834500,43.64,575149,7050,0.1621328
15-01-17,1117417.897,1462,19324100,45.15,806839,6900,0.15319541
16-01-17,1090981.712,1568,20288200,43.46,667903,7337.5,0.16509648
17-01-17,1360283.532,1545,19924600,44.68,1087180,7150,0.1975706
18-01-17,1788399.177,1625,20774000,43.92,963419,7100,0.17326868
19-01-17,2294770.533,1601,20688300,44.25,589695,7175,0.19338868
20-01-17,1272149.813,1705,21162900,43.65,682880,7250,0.19810528
21-01-17,1421351.003,1713,21181600,43.51,691633,7137.5,0.41824096
22-01-17,993634.6005,1546,21444100,43.31,812956,7162.5,0.1826384
23-01-17,1956030.037,1642,21673400,42.85,611189,7000,0.21839403
24-01-17,1413841.454,1807,21641900,41.41,661979,7337.5,0.36420389
25-01-17,1524540.004,1778,21303700,40.15,831920,7100,0.16385395
26-01-17,1156016.653,1862,20909800,38.52,1161820,7100,0.18859351
27-01-17,1065685.95,1734,20464400,38.22,939370,7125,0.19545577
28-01-17,1006978,1645,20487000,38.2,571993,7137.5,0.21743925
29-01-17,871989.9203,1806,20775300,38.67,890475,7175,0.19135336
30-01-17,1038619.344,1783,21264100,39.98,764947,7162.5,0.17957787
31-01-17,1021072.363,1800,22181100,39.52,973401,7150,0.18561293
01-02-17,868303.6052,2064,22332800,39.89,635382,7112.5,0.20140283
02-02-17,818842.5424,1757,22811500,39.24,678128,7100,0.23694212
03-02-17,894902.4348,1685,22712100,39.02,843232,7300,0.19525484
04-02-17,4464788.18,1767,22873800,39.34,635301,7062.5,1.15896284
05-02-17,824799.9678,1475,23346500,38.16,615852,7262.5,0.1953409
06-02-17,794082.6989,1766,22919200,37.59,639128,7175,0.33149424
07-02-17,1540826.53,2460,22856400,36.42,966072,7087.5,0.82136302
08-02-17,807555.6416,2299,22402200,35.3,951820,7175,0.54194697
09-02-17,870360.7225,1833,21961100,33.34,1148210,7150,0.22068468
10-02-17,818315.9341,1795,20974100,32.7,602423,7100,0.21444569
11-02-17,700582.2225,1599,20803800,32.76,521365,7212.5,0.19227483
12-02-17,762885.9252,1524,21034500,31.61,515968,7075,0.24304983
13-02-17,922206.5788,1698,20493800,30.38,771020,7262.5,0.20842738
14-02-17,868445.4985,1491,19988100,32.37,750407,7100,0.16905374
15-02-17,1346945.32,1616,21469300,33.55,852288,7212.5,0.1919589
16-02-17,754239.8697,1572,22549000,32.56,679495,7150,0.1886054
17-02-17,636416.6348,1500,22094500,32.01,495639,7225,0.20270526
18-02-17,807396.5,1535,22025200,30.84,638843,7225,0.21543009
19-02-17,613437.706,1429,21350900,30.58,515481,7012.5,0.18978349
20-02-17,781510.8613,1545,21434000,30.87,556168,7225,0.20420054
21-02-17,764731.4001,1510,21859000,29.9,685559,7237.5,0.18601446
22-02-17,929615.4341,1773,21400000,27.16,1044580,7062.5,0.21753628
23-02-17,1552978.43,1874,19626800,29.98,1441340,7100,0.22088447
24-02-17,1585754.796,1772,21953500,30.23,1180920,7237.5,0.18104941
25-02-17,1266237.95,1487,22177700,29.15,508970,7087.5,0.16891773
26-02-17,1391961.259,1617,21661100,29.45,505969,7262.5,0.18191656
27-02-17,1679651.606,1952,22047100,35.94,2214690,7137.5,0.24761283
28-02-17,1421229.249,2082,27596000,37.3,2551690,7150,0.34874199
01-03-17,2174129.889,2570,28517700,41.41,2376490,7262.5,0.62638782
02-03-17,2957948.225,2299,32105400,39.67,2385790,7062.5,0.32358203
03-03-17,2535510.791,2087,30944900,41.8,2223230,7225,0.28838474
04-03-17,1592675.021,1804,32919300,41.64,1619630,7225,0.23170131
05-03-17,1095862.2,1685,33074800,39.44,802597,6987.5,0.20842137
06-03-17,1744334.47,1895,31577900,40.32,1250700,7225,0.25689042
07-03-17,1653773.324,1779,32420300,38.03,1051440,7200,0.23145377
08-03-17,1810935.586,1825,30997800,35.74,1056640,7125,0.34788011
09-03-17,1584559.236,1672,29399200,36.72,891767,7162.5,0.24269755
10-03-17,1895509.834,1903,30440700,35.35,1938790,7212.4999,0.28251895
11-03-17,2397398.143,2059,29530600,39.72,1681810,7237.5,0.34589876
12-03-17,1826774.685,1972,33651900,40.16,1838160,7012.5,0.32590924
13-03-17,5798963.697,2507,34184000,47.66,5846470,7237.5,0.35105409
14-03-17,1989793.607,2386,40972200,45.12,2372830,7187.5,0.30308766
