date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-04-28,73827239.4078,40035.0,1500520000.0,134.21,0.0,4200.0,31.67685839,
2013-04-29,117933585.41,52266.0,1491160000.0,144.54,0.0,4750.0,37.52034795,
2013-04-30,78279146.8079,46802.0,1597780000.0,139.0,0.0,3600.0,53.99561215,
2013-05-01,91453911.2066,52443.0,1542820000.0,116.99,0.0,3575.0,36.80599998,
2013-05-02,87652567.3176,55169.0,1292190000.0,105.21,0.0,3425.0,54.40791613,
2013-05-03,77702921.5385,55636.0,1180070000.0,97.75,0.0,3650.0,48.52677208,
2013-05-04,47644317.1211,48595.0,1089890000.0,112.5,0.0,3900.0,43.41969441,
2013-05-05,57704422.4467,49907.0,1254760000.0,115.91,0.0,3875.0,38.40895622,
2013-05-06,76417158.6426,52523.0,1289470000.0,112.3,0.0,4250.0,51.88924363,
2013-05-07,101624053.212,55899.0,1248470000.0,111.5,0.0,4150.0,43.22493927,
2013-05-08,79294924.4777,47555.0,1219450000.0,113.57,0.0,4125.0,49.5171688,
2013-05-09,65124484.3424,66750.0,1259980000.0,112.67,0.0,4100.0,68.83358453,
2013-05-10,82306462.0385,68957.0,1255970000.0,117.2,0.0,4250.0,61.03773973,
2013-05-11,70255906.1516,71712.0,1311050000.0,115.24,0.0,4475.0,64.7144603,
2013-05-12,54823660.8658,67439.0,1288630000.0,115.0,0.0,4375.0,57.98717092,
2013-05-13,67337513.0469,60443.0,1279980000.0,117.98,0.0,4375.0,58.6645122,
2013-05-14,74843800.7336,65458.0,1315720000.0,111.5,0.0,3850.0,56.3462306,
2013-05-15,75721735.9297,65045.0,1242760000.0,114.22,0.0,3575.0,48.99999252,
2013-05-16,74451987.8939,61462.0,1274620000.0,118.76,0.0,3650.0,58.40010175,
2013-05-17,81086986.2382,60388.0,1319590000.0,123.02,0.0,4050.0,88.12669735,
2013-05-18,73842241.1414,48290.0,1379140000.0,123.5,0.0,3425.0,37.08573213,
2013-05-19,53516540.3875,50416.0,1376370000.0,121.99,0.0,4150.0,44.69975431,
2013-05-20,53687198.2217,49435.0,1368910000.0,122.0,0.0,3375.0,48.79896181,
2013-05-21,73411178.3734,53176.0,1363940000.0,122.88,0.0,3550.0,45.73742117,
2013-05-22,81973817.4004,52952.0,1374130000.0,123.89,0.0,4150.0,50.66091818,
2013-05-23,76826358.2873,55582.0,1384780000.0,126.7,0.0,4075.0,53.95741269,
2013-05-24,90309396.153,56521.0,1413300000.0,133.2,0.0,4125.0,43.30824227,
2013-05-25,97120330.5048,54128.0,1489950000.0,131.98,0.0,4225.0,55.02510239,
2013-05-26,48146331.3973,40435.0,1478030000.0,133.48,0.0,4100.0,31.46608906,
2013-05-27,61589970.1698,52244.0,1495520000.0,129.75,0.0,4500.0,47.29502624,
2013-05-28,88151763.0203,55119.0,1454310000.0,129.0,0.0,3850.0,54.58621312,
2013-05-29,90063977.0707,54862.0,1446190000.0,132.3,0.0,4275.0,52.00668912,
2013-05-30,69879754.7543,57928.0,1483180000.0,128.8,0.0,4375.0,47.80279122,
2013-05-31,84268070.7381,56274.0,1445050000.0,129.0,0.0,4500.0,47.48303138,
2013-06-01,57611602.7394,52487.0,1445800000.0,129.3,0.0,5050.0,39.68031578,
2013-06-02,46289755.9234,50171.0,1451930000.0,122.29,0.0,5100.0,49.71934703,
2013-06-03,74581344.8577,52867.0,1376180000.0,122.22,0.0,5300.0,45.44642277,
2013-06-04,76208842.5204,59408.0,1357020000.0,121.42,0.0,5150.0,64.11903339,
2013-06-05,76053405.0428,55162.0,1365110000.0,121.65,0.0,4900.0,60.92765768,
2013-06-06,81368048.256,55800.0,1371300000.0,118.0,0.0,4550.0,42.94448631,
2013-06-07,72370166.6079,54517.0,1338880000.0,111.5,0.0,4100.0,40.76889109,
2013-06-08,38051773.1776,45646.0,1249630000.0,108.3,0.0,4025.0,44.05412068,
2013-06-09,62454539.5229,46443.0,1215130000.0,100.0,0.0,4275.0,38.59999691,
2013-06-10,50218529.3937,43927.0,1131570000.0,106.35,0.0,4550.0,34.07402103,
2013-06-11,57251049.2785,49796.0,1198640000.0,108.9,0.0,4475.0,47.35571901,
2013-06-12,57648923.356,45093.0,1229000000.0,108.15,0.0,4875.0,41.80132413,
2013-06-13,52880367.4746,44612.0,1227030000.0,104.0,0.0,4850.0,39.61784095,
2013-06-14,70628327.5309,47915.0,1173060000.0,99.98,0.0,4200.0,37.94265331,
2013-06-15,44706358.7445,40041.0,1128950000.0,99.99,0.0,4525.0,36.50098688,
2013-06-16,43275132.1613,40072.0,1127120000.0,99.51,0.0,4525.0,29.21024324,
2013-06-17,53034986.2987,43885.0,1128720000.0,101.7,0.0,3875.0,35.6994354,
2013-06-18,63197350.1453,47281.0,1152250000.0,107.4,0.0,3625.0,36.92675947,
2013-06-19,60542802.9028,45754.0,1210260000.0,108.25,0.0,3100.0,35.49768977,
2013-06-20,72019531.8367,51920.0,1224210000.0,110.15,0.0,3775.0,66.63940675,
2013-06-21,76935054.4568,49830.0,1259000000.0,109.5,0.0,4250.0,50.88258598,
2013-06-22,43710140.7672,44645.0,1239210000.0,108.3,0.0,4600.0,49.4188564,
2013-06-23,33598005.0309,37641.0,1224980000.0,107.6,0.0,4125.0,36.92735886,
2013-06-24,52652862.6325,42878.0,1222030000.0,102.74,0.0,3550.0,38.58707721,
2013-06-25,73118950.52,45161.0,1156610000.0,103.95,0.0,3825.0,36.088719,
2013-06-26,59961801.3497,45351.0,1171050000.0,104.0,0.0,4700.0,38.72340514,
2013-06-27,53060579.2372,46332.0,1179110000.0,101.44,0.0,4150.0,32.65156561,
2013-06-28,52304587.616,48777.0,1153880000.0,94.65,0.0,4275.0,47.75314975,
2013-06-29,51645173.9283,37949.0,1074010000.0,94.99,0.0,3950.0,25.1261887,
2013-06-30,35696964.4734,32088.0,1078260000.0,96.61,0.0,3950.0,30.26636173,
2013-07-01,62932014.1694,36031.0,1107130000.0,88.05,0.0,3950.0,22.29746409,
2013-07-02,68570364.9491,40821.0,1000070000.0,90.13,0.0,3825.0,35.68964129,
2013-07-03,56724053.1486,35507.0,1027160000.0,77.53,0.0,4625.0,29.48523635,
2013-07-04,71167691.054,35434.0,896693000.0,80.53,0.0,4050.0,22.16351472,
2013-07-05,62112886.1349,36450.0,909526000.0,68.43,0.0,4475.0,33.4891456,
2013-07-06,47264963.6382,35431.0,779255000.0,70.28,0.0,4750.0,30.92358948,
2013-07-07,48873515.1212,29566.0,782352000.0,74.56,0.0,4850.0,17.77253004,
2013-07-08,52834137.3225,36817.0,870912000.0,76.52,0.0,4550.0,31.4434201,
2013-07-09,79789074.78,41049.0,865585000.0,76.69,0.0,4825.0,35.04585076,
2013-07-10,98957969.4257,39922.0,874138000.0,86.76,0.0,4400.0,26.81968763,
2013-07-11,82993671.1087,41158.0,1003090000.0,88.98,0.0,4775.0,34.60590643,
2013-07-12,97554002.0103,48827.0,1014640000.0,93.59,0.0,4000.0,30.88380562,
2013-07-13,84176669.6736,39681.0,1072140000.0,98.13,0.0,3800.0,34.09145753,
2013-07-14,56894483.101,33651.0,1126260000.0,94.69,0.0,4100.0,22.1297315,
2013-07-15,55724559.4861,36473.0,1068520000.0,98.4,0.0,4325.0,23.2125662,
2013-07-16,85914380.0265,39230.0,1129260000.0,97.45,0.0,4100.0,34.64459148,
2013-07-17,100176181.277,40548.0,1104760000.0,98.5,0.0,4250.0,34.35175156,
2013-07-18,84042338.5114,41363.0,1125660000.0,90.58,0.0,4325.0,27.48021325,
2013-07-19,73184127.9662,37055.0,1029670000.0,92.17,0.0,4225.0,32.10967148,
2013-07-20,45931532.6953,33811.0,1052140000.0,89.39,0.0,4675.0,22.96289992,
2013-07-21,39404594.2239,35263.0,1027640000.0,90.76,0.0,4850.0,24.64534852,
2013-07-22,75774653.5923,38203.0,1053000000.0,91.61,0.0,4400.0,22.77125664,
2013-07-23,91186240.2419,39152.0,1048820000.0,95.56,0.0,3575.0,31.28714746,
2013-07-24,72529799.8603,40214.0,1094490000.0,94.51,0.0,3925.0,33.70948583,
2013-07-25,71380864.5906,42235.0,1082800000.0,96.9,0.0,3425.0,34.44198333,
2013-07-26,76687336.9589,39901.0,1111160000.0,96.02,0.0,4375.0,22.03109172,
2013-07-27,45400867.9764,36626.0,1100900000.0,94.12,0.0,4200.0,31.41478594,
2013-07-28,48886727.0788,33147.0,1082750000.0,99.76,0.0,4425.0,20.28278282,
2013-07-29,75011218.3121,44648.0,1131340000.0,101.2,0.0,4350.0,32.816041,
2013-07-30,99795318.4538,39903.0,1164940000.0,107.99,0.0,4625.0,35.33521807,
2013-07-31,93369055.9125,51580.0,1239630000.0,106.09,0.0,4800.0,45.75584981,
2013-08-01,109364221.248,48467.0,1220190000.0,104.0,0.0,4850.0,32.62343537,
2013-08-02,89022159.3515,50759.0,1205070000.0,104.5,0.0,4600.0,39.86644539,
2013-08-03,69084038.5828,46711.0,1201490000.0,104.0,0.0,4250.0,26.82670848,
2013-08-04,50994941.1769,46054.0,1207100000.0,105.14,0.0,4400.0,33.64238002,
2013-08-05,79187946.6166,47983.0,1209520000.0,106.22,0.0,4875.0,26.92411131,
2013-08-06,75111238.5564,52043.0,1228440000.0,106.75,0.0,4600.0,40.48977578,
2013-08-07,78682324.8948,56974.0,1229100000.0,106.75,0.0,4575.0,30.50863112,
2013-08-08,73931973.0353,56992.0,1229100000.0,103.0,0.0,5000.0,49.88366029,
2013-08-09,60256853.8241,52486.0,1187920000.0,102.8,0.0,5150.0,44.97811212,
2013-08-10,50216107.3175,52316.0,1185310000.0,103.0,0.0,4925.0,30.09904246,
2013-08-11,42435740.3577,39459.0,1188150000.0,105.0,0.0,5350.0,32.89432334,
2013-08-12,74503589.5492,47995.0,1211790000.0,106.64,0.0,5850.0,25.2498706,
2013-08-13,129234678.038,51711.0,1235340000.0,109.0,0.0,4700.0,29.03962614,
2013-08-14,149415296.588,51140.0,1265450000.0,112.56,0.0,3950.0,43.68051202,
2013-08-15,93821635.8577,59689.0,1300660000.0,109.99,0.0,4250.0,64.33394174,
2013-08-16,110854541.076,68632.0,1271470000.0,108.99,0.0,4225.0,45.1878648,
2013-08-17,106546006.311,55848.0,1260350000.0,113.5,0.0,4550.0,28.10946064,
2013-08-18,86176292.0718,55561.0,1304320000.0,113.5,0.0,5000.0,46.4707411,
2013-08-19,119560361.202,70647.0,1312160000.0,119.0,0.0,4500.0,38.02368753,
2013-08-20,104817267.991,64526.0,1377730000.0,121.2,0.0,4450.0,45.04735972,
2013-08-21,153915100.57,63259.0,1403890000.0,123.3,0.0,5100.0,34.16427786,
2013-08-22,94227663.5229,63946.0,1428700000.0,121.15,0.0,5275.0,37.27870579,
2013-08-23,89342374.951,57493.0,1414290000.0,118.5,0.0,5350.0,34.30541551,
2013-08-24,68554280.4446,51291.0,1374420000.0,120.05,0.0,4550.0,28.25622737,
2013-08-25,64279170.5567,44977.0,1387640000.0,122.11,0.0,3675.0,30.69672002,
2013-08-26,72050875.1301,54694.0,1417200000.0,120.06,0.0,4200.0,39.9253731,
2013-08-27,103113106.711,60616.0,1394010000.0,126.5,0.0,4150.0,39.9551381,
2013-08-28,91641241.6238,63043.0,1468960000.0,122.62,0.0,4250.0,259.97574356,
2013-08-29,80623438.7083,62066.0,1424680000.0,122.39,0.0,5050.0,28.62638351,
2013-08-30,98696485.5342,61509.0,1422120000.0,133.49,0.0,4750.0,43.30919043,
2013-08-31,89985553.7874,50294.0,1547640000.0,135.35,0.0,5500.0,31.7263961,
2013-09-01,77732803.354,44861.0,1572230000.0,138.34,0.0,5475.0,25.05146361,
2013-09-02,81156122.046,50603.0,1613600000.0,135.85,0.0,5700.0,47.06920633,
2013-09-03,108169818.375,50369.0,1579180000.0,136.77,0.0,4650.0,30.7920692,
2013-09-04,95736252.479,51090.0,1590550000.0,126.74,0.0,4300.0,24.93143079,
2013-09-05,98494444.1675,61496.0,1477250000.0,126.43,0.0,4350.0,34.27211578,
2013-09-06,78265832.1431,62282.0,1474670000.0,119.15,0.0,4725.0,32.63392986,
2013-09-07,74589942.5069,52520.0,1386610000.0,124.15,0.0,3800.0,26.90479469,
2013-09-08,45522765.3439,46494.0,1448180000.0,121.66,0.0,3800.0,25.31622568,
2013-09-09,64260612.8687,55922.0,1422180000.0,127.11,0.0,4900.0,29.57194144,
2013-09-10,68913188.2426,54066.0,1485960000.0,125.91,0.0,4800.0,27.20827314,
2013-09-11,78900390.3232,49343.0,1470450000.0,135.25,0.0,5125.0,23.02719024,
2013-09-12,79590046.081,51395.0,1583960000.0,133.13,0.0,5075.0,29.12791881,
2013-09-13,85797303.0078,45362.0,1552880000.0,134.98,0.0,5125.0,21.41425676,
2013-09-14,67558271.1911,46737.0,1579050000.0,129.22,0.0,5575.0,21.86850927,
2013-09-15,47220337.2848,48661.0,1514140000.0,130.37,0.0,4450.0,25.09068677,
2013-09-16,72637245.5641,49431.0,1531820000.0,131.72,0.0,4050.0,30.18928293,
2013-09-17,81309748.0773,67604.0,1540880000.0,131.66,0.0,4400.0,95.5580382,
2013-09-18,87258601.8101,63322.0,1542870000.0,131.47,0.0,4000.0,309.86955795,
2013-09-19,94129374.3104,58698.0,1539430000.0,129.65,0.0,4725.0,99.36871364,
2013-09-20,92552649.6723,59238.0,1520470000.0,127.04,0.0,5000.0,36.0643538,
2013-09-21,60127001.3062,53331.0,1488870000.0,127.43,0.0,4725.0,26.89067229,
2013-09-22,52985532.7446,51409.0,1500260000.0,129.12,0.0,5050.0,26.74028812,
2013-09-23,98828684.4425,61049.0,1513940000.0,125.95,0.0,5500.0,36.59674869,
2013-09-24,127502974.565,64682.0,1480210000.0,127.25,0.0,5050.0,32.47423176,
2013-09-25,92656092.5675,56132.0,1496510000.0,128.22,0.0,5275.0,29.89207668,
2013-09-26,77729674.3431,52345.0,1506920000.0,128.38,0.0,4175.0,27.27674821,
2013-09-27,90501430.2189,50622.0,1516020000.0,133.78,0.0,4450.0,83.26532184,
2013-09-28,73020609.0534,44892.0,1573400000.0,134.78,0.0,4400.0,27.8548681,
2013-09-29,69480086.7673,41536.0,1587290000.0,137.34,0.0,4325.0,19.56024562,
2013-09-30,92020103.0797,43296.0,1614350000.0,133.0,0.0,3875.0,26.87542642,
2013-10-01,130137799.945,53695.0,1562270000.0,132.18,0.0,4800.0,35.42343641,
2013-10-02,124601938.914,63779.0,1555470000.0,114.13,0.0,4650.0,45.5006027,
2013-10-03,110632312.712,59453.0,1348700000.0,123.63,0.0,5025.0,31.1382287,
2013-10-04,95069442.9038,53844.0,1454900000.0,129.01,0.0,4450.0,32.64055375,
2013-10-05,62157519.4075,47090.0,1517020000.0,128.55,0.0,5275.0,26.74333909,
2013-10-06,48383556.7224,43632.0,1514540000.0,129.0,0.0,4975.0,21.38243077,
2013-10-07,73675616.8058,42892.0,1527760000.0,126.94,0.0,3750.0,33.20804707,
2013-10-08,83108751.7452,44543.0,1496500000.0,126.0,0.0,4000.0,16.77562844,
2013-10-09,100812416.914,48428.0,1486510000.0,130.69,0.0,4550.0,26.54051455,
2013-10-10,90462016.4118,57252.0,1544020000.0,130.59,0.0,4900.0,28.58793526,
