date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-02-10,153235.346585,960.0,0.0,0.97313,127149.0,3100.8651683,42.7281300001,
2016-02-11,111416.861472,856.0,0.0,1.21,44529.0,5721.3146063,60.2448350301,
2016-02-12,106784.403781,849.0,0.0,1.31,41599.0,8254.4157297,43.9014000001,
2016-02-13,48104.2202541,682.0,0.0,1.13,37094.0,6900.5168534,34.22315,
2016-02-14,65057.2403111,431.0,0.0,1.18,15138.0,5022.5280895,31.609,
2016-02-15,65278.7001563,485.0,0.0,1.36,45922.0,5044.36516815,29.7499,
2016-02-16,61619.2148415,785.0,0.0,1.5,59303.0,8232.57865105,41.03195,
2016-02-17,45975.6786098,731.0,0.0,1.57,41295.0,7206.2359545,40.5675,
2016-02-18,30855.1513792,550.0,0.0,1.42,31431.0,5481.10674115,28.04275,
2016-02-19,24967.3095545,518.0,0.0,1.45,18000.0,5743.15168495,27.55795,
2016-02-20,118654.202857,531.0,0.0,1.55,23922.0,6551.123595,38.2592,
2016-02-21,40331.2730658,565.0,0.0,1.64,27627.0,7031.5393253,29.8973,
2016-02-22,223380.489521,489.0,0.0,1.74,61298.0,6451.29694903,40.18555,
2016-02-23,585768.160245,694.0,1629160.0,1.91,90550.0,7543.15088131,38.5438,
2016-02-24,364548.751379,801.0,1804250.0,2.67,133621.0,10962.213481,44.29875,
2016-02-25,616417.537203,756.0,2554480.0,2.39,138725.0,8422.87319269,49.64435,
2016-02-26,625319.673364,596.0,2339830.0,2.43,48829.0,7574.34670807,37.54515,
2016-02-27,308285.761632,594.0,2361910.0,2.17,46765.0,8216.98073689,36.4492999999,
2016-02-28,140981.452881,658.0,2121660.0,2.24,29047.0,9545.9229517,36.459895,
2016-02-29,80498.3302987,579.0,2211740.0,2.06,39208.0,7816.00626054,34.60783,
2016-03-01,269307.195343,667.0,2056790.0,1.72,69219.0,9142.5392929,45.2159499999,
2016-03-02,316542.899955,614.0,1708010.0,1.7,40583.0,7950.30274991,37.38025,
2016-03-03,5511248.60096,712.0,1719390.0,1.74,37621.0,9618.1984317,47.3013500001,
2016-03-04,1206397.52932,502.0,1764430.0,1.74,17233.0,7610.54622213,26.0445,
2016-03-05,53591.7676798,634.0,1791290.0,1.69,27323.0,8913.9758105,40.6385,
2016-03-06,566491.413991,618.0,1778700.0,2.03,37126.0,8574.21928272,41.6384956,
2016-03-07,255678.4394,580.0,2143660.0,2.16,34234.0,8864.55667923,31.66005,
2016-03-08,701565.582471,591.0,2292010.0,2.33,29222.0,8703.94450246,24.19295,
2016-03-09,1042500.11683,647.0,2460340.0,2.48,82286.0,7907.06101006,34.37125,
2016-03-10,803835.480623,585.0,2663650.0,2.32,35050.0,9673.79495453,18.01185,
2016-03-11,2415562.673,547.0,2517010.0,2.4,51701.0,8425.96188885,14.7154,
2016-03-12,343238.482249,580.0,2505580.0,2.28,51006.0,7968.83492418,21.394917,
2016-03-13,44670.0362154,472.0,2512840.0,2.38,22474.0,8320.94623479,12.5691,
2016-03-14,1120868.14071,542.0,2642520.0,2.42,48534.0,8839.84711359,28.1005999999,
2016-03-15,337004.383345,600.0,2709920.0,2.59,41795.0,9426.69929789,20.3519,
2016-03-16,292202.065683,540.0,2727830.0,2.62,38186.0,7622.90100494,19.12215,
2016-03-17,150818.808721,521.0,2979350.0,2.49,23704.0,8493.91319435,15.14104,
2016-03-18,377572.382098,561.0,2868020.0,2.43,20667.0,9964.13235089,17.000652,
2016-03-19,226418.733114,518.0,2804530.0,2.31,21945.0,8846.02450497,28.52351,
2016-03-20,122268.556436,481.0,2676350.0,2.18,20628.0,8438.31667156,23.811858,
2016-03-21,175194.577225,536.0,2551440.0,2.19,14562.0,7827.06073268,27.71284,
2016-03-22,584183.512067,551.0,2582630.0,2.13,19899.0,8740.09141541,31.182932,
2016-03-23,135512.412472,591.0,2530960.0,2.04,15242.0,9847.12888651,31.294818,
2016-03-24,262305.743869,392.0,2442810.0,1.92,17730.0,7333.35871733,23.990302,
2016-03-25,209444.209111,530.0,2311280.0,2.05,14750.0,8801.2537066,30.956554,
2016-03-26,291510.73281,594.0,2487230.0,2.31,25084.0,9211.0410578,36.14057101,
2016-03-27,279840.898336,512.0,2821080.0,2.07,25734.0,8929.69451817,38.71193201,
2016-03-28,127874.710541,483.0,2552280.0,2.06,17492.0,8519.90716699,29.359442,
2016-03-29,355924.897488,516.0,2549430.0,2.06,17297.0,8238.5606274,30.13363601,
2016-03-30,108689.607318,533.0,2593780.0,2.16,10261.0,9357.83055674,35.80693602,
