date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-07-24,12001175.9273,25256.0,0.0,0.928814,17769300.0,54662.5,19.6850084925,
2016-07-25,3926470.45135,25432.0,76700600.0,0.602402,9308400.0,31262.5,23.0742824187,
2016-07-26,21097738.6089,31020.0,49768300.0,2.55,103066000.0,45913.4375,25.8289033522,
2016-07-27,16410637.3679,34042.0,202315000.0,1.6,62645700.0,33052.34375,26.8256999035,
2016-07-28,22202641.9018,23447.0,128530000.0,1.73,40291300.0,33480.46875,21.7173534742,
2016-07-29,12655425.4113,18362.0,140887000.0,1.64,20745500.0,35176.875,19.6500413467,
2016-07-30,7575463.12181,15092.0,136213000.0,1.57,10061600.0,32699.53125,11.117137677,
2016-07-31,8315938.48746,16525.0,129265000.0,1.8,29167500.0,35503.75,12.607749391,
2016-08-01,16655820.9964,20533.0,147548000.0,2.34,45924200.0,36351.875,14.495825735,
2016-08-02,22981701.406,26061.0,194318000.0,2.76,147855000.0,37578.125,18.7776739282,
2016-08-03,13976409.8763,28575.0,228712000.0,2.6,74184500.0,35055.0,21.5209123237,
2016-08-04,12593237.8655,23927.0,213375000.0,2.34,43516500.0,32255.625,17.9889128156,
2016-08-05,12082678.6748,18801.0,193412000.0,2.59,20254400.0,35111.5625,13.7970808781,
2016-08-06,11817891.9629,19205.0,213044000.0,2.7,22874700.0,36771.875,13.5784430224,
2016-08-07,9992748.12305,18929.0,222683000.0,2.15,31153900.0,34467.34375,12.4397919058,
2016-08-08,25717088.6503,15872.0,178435000.0,2.19,15781200.0,35828.28125,12.3903560273,
2016-08-09,12023974.3509,17414.0,179978000.0,1.95,23612300.0,31986.875,13.7183403438,
2016-08-10,29623355.9476,15786.0,160983000.0,1.71,20082200.0,33414.0625,11.542645509,
2016-08-11,10504774.901,16122.0,142268000.0,1.85,17263000.0,34447.1875,11.3354066707,
2016-08-12,13171547.3719,15467.0,152797000.0,1.85,15418800.0,33269.53125,10.4003020861,
2016-08-13,1877854.14358,14427.0,153918000.0,1.87,3822490.0,33361.5625,9.74120400256,
2016-08-14,4234614.48077,14922.0,154946000.0,1.93,6985300.0,33261.25,24.4133446356,
2016-08-15,4798703.73217,14922.0,159898000.0,1.86,7282060.0,33262.1875,9.91306561228,
2016-08-16,3855532.63493,17963.0,154786000.0,1.86,4062150.0,33623.4375,13.2951076501,
2016-08-17,3362933.659,14460.0,154458000.0,1.74,5087980.0,33452.8125,9.6855644456,
2016-08-18,3829336.64833,12799.0,144697000.0,1.69,4469650.0,33878.4375,8.16487811713,
2016-08-19,3339993.53126,12560.0,139926000.0,1.79,6186480.0,34077.5,8.37700998914,
2016-08-20,2081956.49678,12964.0,147957000.0,1.74,3315060.0,35246.09375,8.53825856974,
2016-08-21,1394381.64538,12662.0,145110000.0,1.72,1866780.0,33357.34375,8.24494349212,
2016-08-22,9264014.82587,13503.0,143596000.0,1.67,4757220.0,33181.25,9.55948216087,
2016-08-23,5043134.18878,13933.0,139367000.0,1.6,6292880.0,33152.96875,9.33990499448,
2016-08-24,5154749.93784,12890.0,133732000.0,1.44,6191350.0,32754.6875,8.89163437492,
2016-08-25,4466883.84195,12931.0,120071000.0,1.37,9500860.0,33195.78125,9.03404699238,
2016-08-26,6090519.49524,12362.0,114207000.0,1.44,6251250.0,32770.625,8.24544027371,
2016-08-27,6261436.48021,11650.0,119989000.0,1.35,3494870.0,33052.65625,7.31959516239,
2016-08-28,3243507.86526,11708.0,112287000.0,1.32,4837510.0,32619.6875,7.45058709034,
2016-08-29,4143805.17847,11768.0,109994000.0,1.26,6289800.0,32892.65625,8.09737045277,
2016-08-30,6430047.88034,12860.0,105167000.0,1.24,6984970.0,33150.3125,9.76998073545,
2016-08-31,4768619.89489,13091.0,103201000.0,1.18,6098980.0,32610.3125,9.32275601144,
2016-09-01,19210525.5951,15357.0,99255000.0,1.44,13501800.0,34188.90625,11.6239862553,
2016-09-02,5832379.5128,22958.0,121870000.0,1.39,6325890.0,33787.5,24.8058422257,
2016-09-03,8674427.77578,12484.0,116853000.0,1.34,4659540.0,32461.40625,8.19793091832,
2016-09-04,4498888.60331,12763.0,112345000.0,1.46,3690740.0,33774.53125,8.92353716438,
2016-09-05,14401432.0062,13993.0,122418000.0,1.45,4621750.0,33558.59375,9.36939327965,
2016-09-06,2511076.7514,14696.0,121876000.0,1.47,2566580.0,32971.40625,9.43950047066,
2016-09-07,6125217.49648,18314.0,122689000.0,1.48,2868960.0,33533.75,12.1826728811,
2016-09-08,4304389.60213,16044.0,123795000.0,1.44,2554920.0,33389.0625,11.1667788276,
2016-09-09,1676286.105,15051.0,119154000.0,1.4,2336300.0,33401.40625,9.91516777282,
2016-09-10,2532668.45839,12796.0,117067000.0,1.42,1485050.0,33043.90625,8.27238783652,
2016-09-11,3685714.42615,14402.0,118754000.0,1.34,4152550.0,32813.90625,9.67886689449,
2016-09-12,1711935.2016,14818.0,112052000.0,1.32,1735650.0,32936.09375,10.7994536308,
2016-09-13,1501691.94208,14324.0,111010000.0,1.29,1627740.0,33528.59375,9.8010423068,
2016-09-14,1360210.93913,14151.0,107907000.0,1.29,1593070.0,33727.34375,9.29924322552,
