date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015-08-07,5564117.31367,2016.0,0.0,2.77,164329.0,27437.65625,37.3184135113,
2015-08-08,1266907.7463,2807.0,167911000.0,0.753325,674188.0,27943.4375,68.0999700719,
2015-08-09,818028.15006,1298.0,42637600.0,0.701897,532170.0,27178.28125,14.0989497032,
2015-08-10,1183752.77582,1999.0,43130000.0,0.708448,405283.0,27817.34375,31.1651444384,
2015-08-11,1589574.37988,4945.0,42796500.0,1.07,1463100.0,28027.8125,11.311448586,
2015-08-12,911930.112808,1993.0,64018400.0,1.22,2150620.0,27370.9375,32.5869924044,
2015-08-13,3271767.97783,2807.0,73935400.0,1.83,4068680.0,28268.125,24.9291691099,
2015-08-14,4200671.72509,3144.0,109594000.0,1.83,4637030.0,31106.71875,14.3548341128,
2015-08-15,7826865.82111,2264.0,109160000.0,1.69,2554360.0,28512.65625,8.83659302805,
2015-08-16,2682481.17667,2422.0,102028000.0,1.57,3550790.0,27094.53125,6.67723792491,
2015-08-17,2693711.41772,2503.0,95819700.0,1.2,1942830.0,28118.90625,7.64281183963,
2015-08-18,1688103.61737,2485.0,88143200.0,1.09,1485680.0,26162.8125,11.9060713402,
2015-08-19,1448464.00772,3224.0,84663900.0,1.26,1486240.0,27282.03125,15.4309506695,
2015-08-20,609322.01532,2266.0,90809000.0,1.46,2843760.0,21057.03125,6.85556694271,
2015-08-21,821589.014803,3888.0,107266000.0,1.4,2020970.0,26690.9375,7.85504172471,
2015-08-22,682504.192037,3562.0,101404000.0,1.38,948310.0,27550.46875,42.5471718296,
2015-08-23,672077.071486,4126.0,99894500.0,1.35,1589300.0,26255.625,8.0497676729,
2015-08-24,568483.445829,4423.0,97791600.0,1.23,924920.0,27333.28125,8.8762854198,
2015-08-25,463358.88287,4449.0,89321900.0,1.14,1307180.0,26736.09375,8.25975582511,
2015-08-26,509689.484297,4112.0,82384400.0,1.16,1056750.0,26137.96875,7.44772927856,
2015-08-27,313691.4569,5568.0,85106100.0,1.15,686662.0,24532.8125,8.67096304289,
2015-08-28,357538.033087,4723.0,83521700.0,1.19,721872.0,24225.15625,9.92514837051,
2015-08-29,507805.985821,4109.0,86887600.0,1.18,375377.0,22525.0,5.50745152606,
2015-08-30,549010.571327,4547.0,86145900.0,1.32,1337650.0,21453.59375,5.63417374243,
2015-08-31,523394.943777,5165.0,96251000.0,1.36,1447180.0,21293.4375,7.42453381438,
2015-09-01,1916754.26487,5114.0,98617200.0,1.35,778862.0,20339.21875,7.84376985589,
2015-09-02,357995.651237,5160.0,98504600.0,1.29,883769.0,18391.09375,8.15373533105,
2015-09-03,701537.326256,4738.0,94418700.0,1.26,702991.0,17380.9375,6.9700256741,
2015-09-04,224216.77989,5601.0,92234100.0,1.27,474391.0,23081.875,9.73385636147,
2015-09-05,224417.669848,5471.0,93402300.0,1.34,448453.0,25629.0625,9.1412283236,
2015-09-06,385104.857694,5489.0,97625500.0,1.3,491968.0,26168.28125,8.05548773452,
