date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-04-28,47953216.6642,9408.0,73773400.0,4.35,0.0,31500.0,634.12115353,
2013-04-29,39405830.7811,9092.0,74952700.0,4.38,0.0,32450.0,597.09819722,
2013-04-30,38303349.0599,9205.0,75726800.0,4.3,0.0,31600.0,755.49514119,
2013-05-01,66207161.5748,8927.0,73901200.0,3.8,0.0,31450.0,689.15982099,
2013-05-02,15245198.0918,8290.0,65242700.0,3.37,0.0,28300.0,551.32780348,
2013-05-03,4466626.50287,6517.0,58607400.0,3.04,0.0,19600.0,388.39494979,
2013-05-04,7197008.6534,6373.0,52476400.0,3.48,0.0,20950.0,402.19701317,
2013-05-05,6196348.96068,5637.0,60525000.0,3.59,0.0,21950.0,298.21836404,
2013-05-06,11770433.1042,10109.0,62356000.0,3.37,0.0,29200.0,703.8181778,
2013-05-07,9810844.10234,9025.0,58588300.0,3.33,0.0,36400.0,490.6952946,
2013-05-08,6784062.18871,9215.0,57196300.0,3.41,0.0,38200.0,494.85883695,
2013-05-09,9501684.99355,12228.0,59337100.0,3.42,0.0,35900.0,898.92613751,
2013-05-10,8384613.80516,11038.0,59588000.0,3.44,0.0,38100.0,747.40541538,
2013-05-11,17716426.0917,7240.0,60658000.0,3.35,0.0,32900.0,426.68479058,
2013-05-12,8675955.31062,6773.0,59052900.0,3.27,0.0,29600.0,367.2669335,
2013-05-13,6795876.85274,6577.0,57363200.0,3.28,0.0,29800.0,350.93538154,
2013-05-14,6470700.13633,7115.0,57812000.0,2.82,0.0,28900.0,412.66908934,
2013-05-15,7190980.69056,6499.0,49842500.0,2.94,0.0,28650.0,348.47638575,
2013-05-16,6276158.44172,7281.0,51790900.0,2.92,0.0,28850.0,450.99965651,
2013-05-17,6652484.86277,7115.0,51195900.0,3.19,0.0,26250.0,420.41236766,
2013-05-18,5854569.23882,5440.0,56721100.0,3.29,0.0,26650.0,294.49952114,
2013-05-19,6371288.09005,5905.0,58645400.0,3.3,0.0,28350.0,296.58645517,
2013-05-20,4670830.62615,6159.0,58962900.0,3.18,0.0,28250.0,341.18825872,
2013-05-21,6354159.987,6440.0,56887600.0,3.09,0.0,26350.0,384.83343072,
2013-05-22,6158548.14743,5306.0,55165300.0,3.12,0.0,27550.0,273.31782374,
2013-05-23,6636114.21748,5706.0,55727000.0,3.18,0.0,29900.0,319.35913617,
2013-05-24,7590928.83144,6003.0,56747200.0,3.18,0.0,32700.0,325.90130515,
2013-05-25,7201325.03048,5376.0,57165800.0,3.12,0.0,32150.0,317.79956933,
2013-05-26,5973611.20652,4992.0,56123900.0,3.25,0.0,28400.0,304.22005946,
