date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-02-13,702.081251381,273.0,0.0,0.001144,641.0,341000.0,0.0969949299926,
2016-02-14,496.872852409,325.0,5642.0,0.000797,347.0,287000.0,0.0656323600175,
2016-02-15,622.916711667,483.0,4170.0,0.000598,217.0,351000.0,0.117718290029,
2016-02-16,664.786208018,417.0,2440.0,0.000664,218.0,344000.0,0.102310819976,
2016-02-17,543.964220874,325.0,3949.0,0.000758,460.0,342750.0,0.0581763500128,
2016-02-18,3331.40960623,558.0,4724.0,0.00079,227.0,342500.0,0.0941658902498,
2016-02-19,1864.691282,399.0,5195.0,0.000864,358.0,341500.0,0.064032719972,
2016-02-20,923.056376403,384.0,5985.0,0.001479,706.0,340750.0,0.0634684199707,
2016-02-21,2111.66164595,551.0,10850.0,0.001407,631.0,342750.0,0.0799428600475,
2016-02-22,997.094273875,452.0,12600.0,0.001932,831.0,342500.0,0.070572690006,
2016-02-23,4440.73359236,541.0,15811.0,0.003831,6330.0,345500.0,0.131308699986,
2016-02-24,1973.30610375,602.0,31767.0,0.002523,3331.0,336750.0,0.0576405599892,
2016-02-25,1262.85512854,370.0,21762.0,0.002075,1194.0,344950.0,50.05274336,
2016-02-26,983.195286244,353.0,21135.0,0.00175,959.0,339700.0,50.05452106,
2016-02-27,1281.71644338,328.0,16312.0,0.002223,1298.0,342200.0,300.05521689,
2016-02-28,1328.13340506,292.0,21459.0,0.002353,2337.0,342500.0,0.0731091599159,
2016-02-29,810.068247762,286.0,23508.0,0.002278,887.0,343250.0,0.0414850999855,
2016-03-01,1007.16035631,583.0,23634.0,0.001884,1269.0,341250.0,0.0977189299873,
2016-03-02,12168.6605546,874.0,20111.0,0.002857,1590.0,342000.0,0.29934824051,
2016-03-03,16338.633646,1143.0,31475.0,0.004732,3534.0,344300.0,200.61586896,
2016-03-04,11049.595839,1024.0,53754.0,0.006895,1554.0,342000.0,0.491171939951,
2016-03-05,5058.25579434,1050.0,92453.0,0.008497,1251.0,342500.0,0.270597170012,
2016-03-06,4843.00030191,778.0,102398.0,0.006384,13020.0,340250.0,0.253996270038,
2016-03-07,21953.5574256,726.0,79106.0,0.004047,10671.0,341350.0,150.37234847,
2016-03-08,4238.12309554,634.0,67295.0,0.004884,5643.0,342750.0,0.186066450074,
2016-03-09,3937.78308844,706.0,62217.0,0.004038,3399.0,342250.0,0.223600469944,
2016-03-10,7132.73929991,954.0,54157.0,0.004086,4297.0,342750.0,0.246658890026,
2016-03-11,4686.08505305,903.0,56238.0,0.004237,3308.0,343500.0,0.347844219887,
2016-03-12,5518.59834163,1120.0,59734.0,0.004364,2997.0,343500.0,0.494357320056,
2016-03-13,3910.01554144,1124.0,63056.0,0.004572,2685.0,341750.0,0.570755440018,
2016-03-14,7141.73713387,1325.0,67642.0,0.005754,5665.0,342750.0,0.719430199684,
2016-03-15,7601.58037441,924.0,86998.0,0.004658,5402.0,341750.0,0.562920820093,
2016-03-16,10248.4835124,1131.0,74894.0,0.005056,2948.0,342000.0,0.34625550008,
2016-03-17,3444.7549536,1070.0,80028.0,0.005116,3154.0,343750.0,0.264872580039,
2016-03-18,5937.56414087,1204.0,82694.0,0.005724,4615.0,341750.0,0.737406300094,
2016-03-19,7755.65804092,1676.0,94376.0,0.006194,3682.0,341750.0,0.488103399973,
2016-03-20,15552.2956546,1495.0,104582.0,0.006782,5692.0,342000.0,1.37161729983,
2016-03-21,6856.26958793,1281.0,116447.0,0.005709,4140.0,341500.0,0.206277849918,
2016-03-22,5189.06344898,1185.0,99672.0,0.005623,3635.0,342000.0,0.349684799997,
2016-03-23,6545.33645011,1125.0,100474.0,0.005345,4352.0,340500.0,0.423997159964,
2016-03-24,3265.77323772,1248.0,97271.0,0.004864,2534.0,343500.0,0.434825710001,
2016-03-25,5535.53491883,1032.0,90186.0,0.0053,3528.0,342250.0,0.5508775998,
2016-03-26,9276.26437597,1118.0,100126.0,0.004857,2635.0,341750.0,0.202877160029,
