date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-01-20,43904.3660042,2593.0,66178.0,0.202121,14602.0,59650.0,1.538,
2014-01-21,36811.876419,2531.0,193581.0,0.179607,13404.0,60350.0,12.4904763,
2014-01-22,66584.9318541,2213.0,281910.0,0.241453,21147.0,37900.0,2.4234844,
2014-01-23,110634.714736,2891.0,321975.0,0.444479,50128.0,52350.0,2.86500001002,
2014-01-24,103490.090139,3418.0,499373.0,0.379007,26869.0,45200.0,5.31,
2014-01-25,65124.560233,3797.0,453116.0,0.344466,19322.0,52100.0,3.43725139,
2014-01-26,38912.4042389,1903.0,411888.0,0.32534,12561.0,26600.0,1.26431204,
2014-01-27,51223.4353013,1225.0,400787.0,0.336943,16763.0,17650.0,10.926,
2014-01-28,43711.1144942,1204.0,445996.0,0.381758,15008.0,19100.0,0.91832416,
2014-01-29,23771.813944,1319.0,483140.0,0.317349,7749.0,21650.0,0.751100000001,
2014-01-30,39169.4214054,1367.0,417532.0,0.339007,4260.0,25550.0,0.936613259998,
2014-01-31,39768.7343984,1531.0,441643.0,0.332375,10074.0,32300.0,0.831010000007,
2014-02-01,52108.0202619,1382.0,447682.0,0.416954,31268.0,27850.0,0.948509999997,
2014-02-02,181866.289684,1756.0,579702.0,0.76076,80009.0,32550.0,1.57873661,
2014-02-03,422842.096588,2181.0,999739.0,1.64,175201.0,34850.0,1.92804751,
2014-02-04,3388661.09645,5123.0,2329270.0,4.54,1000060.0,34700.0,5.44728594,
2014-02-05,9151303.7842,10727.0,7094260.0,5.4,1480360.0,34850.0,31.68100424,
2014-02-06,3001636.37397,9151.0,8571370.0,5.38,817727.0,29700.0,7.93671931,
2014-02-07,2394453.83961,7935.0,7585800.0,4.78,441589.0,26250.0,6.2743874,
2014-02-08,1455998.23401,8137.0,7468430.0,3.45,332129.0,26600.0,7.54908747,
2014-02-09,1617999.02297,8124.0,5467450.0,4.3,493625.0,26850.0,6.89337839,
