date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-05-21,0.0,347.0,2079640.0,1.6,246540.0,23625.7903198,0.000468826264,
2014-05-22,0.0,477.0,1371470.0,2.1,132918.0,22666.1091519,0.000657220138,
2014-05-23,0.0,661.0,1816200.0,2.96,266852.0,23167.7956052,0.000911483436,
2014-05-24,0.0,1026.0,2653720.0,3.7,248028.0,24975.8373414,0.002842246267,
2014-05-25,0.0,1486.0,3774890.0,3.14,283545.0,20133.313716,0.002369143303,
2014-05-26,0.0,1985.0,3070190.0,3.02,220148.0,21236.7283498,0.014979522317,
2014-05-27,0.0,2084.0,2958060.0,2.21,97603.0,21302.6208872,3.04746212718,
2014-05-28,0.0,1341.0,2231880.0,2.27,177716.0,24305.3341399,4.99131557173,
2014-05-29,0.0,1862.0,2251030.0,1.68,109157.0,20042.8486729,6.11866208503,
2014-05-30,0.0,1396.0,1742630.0,1.57,119296.0,23352.4411997,5.73523327804,
2014-05-31,0.0,1071.0,1675440.0,1.94,117399.0,26268.4725099,5.12380070104,
2014-06-01,0.0,1150.0,2111850.0,1.74,130602.0,23103.3780211,5.49229620917,
2014-06-02,0.0,1493.0,1964820.0,1.73,47672.0,22811.0128622,8.26006948906,
2014-06-03,0.0,2084.0,1966370.0,1.93,91332.0,23083.0253993,11.752766976,
2014-06-04,0.0,2256.0,2238440.0,1.81,51886.0,24583.6422659,13.0910605947,
2014-06-05,0.0,2582.0,1781530.0,1.24,100635.0,21992.6395304,14.3678023443,
2014-06-06,0.0,3056.0,1781530.0,1.24,100635.0,22828.0838587,16.7579042011,
2014-06-07,0.0,2156.0,1523430.0,1.36,44187.0,22557.924894,12.4380620699,
2014-06-08,0.0,2434.0,1702900.0,1.34,40634.0,22983.8943081,13.6288046815,
2014-06-09,0.0,2661.0,1697580.0,1.52,56500.0,22759.2689002,14.5268217814,
2014-06-10,0.0,2927.0,1917820.0,1.73,182599.0,25117.2696697,15.9074534792,
2014-06-11,0.0,3051.0,2279840.0,1.62,85735.0,20798.1266404,18.7265404235,
2014-06-12,0.0,4588.0,2174900.0,1.74,108619.0,23517.4805809,28.9363683172,
2014-06-13,0.0,5478.0,2257650.0,1.92,84237.0,23229.9815291,34.6814071043,
2014-06-14,0.0,5432.0,2677530.0,2.34,276919.0,24260.1101317,42.229096636,
2014-06-15,0.0,5401.0,3288170.0,2.69,150652.0,21016.3751769,36.4432868527,
2014-06-16,0.0,4876.0,3905660.0,3.18,438776.0,24372.7039544,38.0330704794,
2014-06-17,0.0,4042.0,4601540.0,2.82,228445.0,22836.0138496,27.7641348516,
2014-06-18,0.0,3776.0,4304890.0,2.79,183102.0,23229.4112528,78.4720280595,
2014-06-19,0.0,4074.0,4188790.0,3.13,283962.0,24146.9484528,29.0746418786,
2014-06-20,0.0,2658.0,4844000.0,4.56,543764.0,23271.114609,17.7255789772,
2014-06-21,0.0,3499.0,6730580.0,5.01,723077.0,24028.4003651,23.5780405833,
2014-06-22,0.0,2780.0,7853920.0,4.35,491984.0,24286.1726563,18.6350149803,
2014-06-23,0.0,3048.0,6851250.0,3.98,433301.0,22037.98903,21.5535874165,
2014-06-24,0.0,2742.0,6374590.0,3.28,150995.0,22458.0608413,18.8722521046,
2014-06-25,0.0,2403.0,5313820.0,3.39,217183.0,22474.351194,16.5202398797,
2014-06-26,0.0,2319.0,5471230.0,2.89,117740.0,23332.8999567,15.8871040847,
2014-06-27,0.0,2088.0,5044180.0,2.2,250643.0,23130.2059741,14.4711031793,
2014-06-28,0.0,1791.0,3997740.0,2.55,184970.0,22606.8779905,12.5184184397,
2014-06-29,0.0,1846.0,4434960.0,2.54,138511.0,23359.3334787,12.9273213892,
2014-06-30,0.0,1998.0,4484350.0,2.5,124575.0,23124.908641,13.9085087608,
2014-07-01,0.0,1901.0,4470350.0,2.35,98540.0,23221.5835703,13.4070319597,
2014-07-02,0.0,1774.0,4225600.0,2.31,101095.0,22222.8646463,13.0075882067,
2014-07-03,0.0,1878.0,4217730.0,2.64,168532.0,22959.3782048,13.4667565078,
2014-07-04,0.0,1788.0,4899760.0,2.64,148555.0,22981.9611962,12.8828723349,
2014-07-05,0.0,1618.0,4956910.0,2.47,68525.0,23276.0867187,11.3624746243,
2014-07-06,0.0,1678.0,4690900.0,2.4,77663.0,22160.7549783,12.0309150718,
2014-07-07,0.0,1915.0,4609840.0,1.99,111370.0,22060.1749323,13.490081883,
2014-07-08,0.0,1850.0,3851290.0,2.35,94993.0,22466.6808283,13.4032729874,
2014-07-09,0.0,1671.0,4518280.0,2.01,69554.0,22490.1743311,12.2189901923,
2014-07-10,0.0,1570.0,4033590.0,1.89,89099.0,22602.0223528,11.978254204,
2014-07-11,0.0,1760.0,3746700.0,1.79,116666.0,22269.1929844,13.5578125046,
2014-07-12,0.0,1401.0,3648870.0,1.73,65375.0,22542.0636534,10.5564899792,
2014-07-13,0.0,1754.0,3562450.0,1.79,122049.0,22307.8001229,43.4980759273,
2014-07-14,0.0,1538.0,3716450.0,1.97,100284.0,22140.7851207,12.0332185528,
2014-07-15,0.0,1950.0,4096760.0,2.11,136205.0,22401.8978135,14.1013223231,
2014-07-16,0.0,2417.0,4585570.0,2.71,353430.0,23117.7433792,17.6828179812,
2014-07-17,0.0,2603.0,5804450.0,2.98,503684.0,22873.2402981,35.1844373621,
2014-07-18,0.0,2186.0,6577180.0,2.62,348336.0,22308.8843461,16.7211191092,
2014-07-19,0.0,1905.0,5680000.0,2.88,169471.0,22320.7582175,14.3554641277,
2014-07-20,0.0,1944.0,6372740.0,2.63,116853.0,22368.5491669,14.6611443978,
2014-07-21,0.0,2153.0,5978470.0,3.09,243140.0,21916.329018,33.5550561734,
2014-07-22,0.0,2105.0,6966760.0,3.2,262049.0,22393.2545559,16.0822591563,
2014-07-23,0.0,2243.0,7296220.0,2.91,274946.0,22555.1377958,17.2360039999,
2014-07-24,0.0,2101.0,6717400.0,2.36,292547.0,21561.1417205,20.6666928179,
2014-07-25,0.0,2156.0,5500730.0,2.71,182887.0,22395.7046388,19.7956370068,
2014-07-26,0.0,1958.0,6327920.0,2.62,125320.0,22185.3021602,14.5046811156,
2014-07-27,0.0,2008.0,6211480.0,2.55,111827.0,21765.8689681,21.3691116854,
2014-07-28,0.0,2138.0,6102470.0,2.7,141903.0,21998.4230612,20.6117982505,
2014-07-29,0.0,2492.0,6507970.0,2.62,272756.0,22311.2672659,18.3715373166,
2014-07-30,0.0,2222.0,6374650.0,2.54,79830.0,21544.4155287,16.3421950902,
2014-07-31,0.0,2118.0,6187770.0,2.55,111065.0,22513.067184,23.1058384084,
2014-08-01,0.0,1822.0,6361190.0,2.67,145177.0,21707.0029307,15.6092475231,
2014-08-02,0.0,1667.0,6665580.0,2.5,101031.0,21396.6773954,12.3562552979,
2014-08-03,0.0,1687.0,6295750.0,2.36,144327.0,21796.5719799,12.0901329469,
2014-08-04,0.0,1944.0,5992660.0,2.01,234647.0,21605.0007662,14.4056092076,
2014-08-05,0.0,1560.0,5154370.0,2.15,94391.0,21708.9292382,11.4172475052,
2014-08-06,0.0,1919.0,5698660.0,2.19,76411.0,21920.0957104,14.0819552419,
2014-08-07,0.0,1525.0,5713790.0,2.14,88304.0,20980.3193436,11.1140087571,
2014-08-08,0.0,1614.0,5636120.0,2.18,87502.0,22056.342242,12.0143789458,
2014-08-09,0.0,1645.0,5760020.0,2.1,72351.0,22092.306792,12.0564881604,
2014-08-10,0.0,1533.0,5482750.0,2.06,80847.0,19784.4736542,11.4025436325,
2014-08-11,0.0,1953.0,5505760.0,2.08,132234.0,22839.528948,14.6848290256,
2014-08-12,0.0,1905.0,5649600.0,2.0,114580.0,21243.1169961,13.9997443274,
2014-08-13,0.0,1695.0,5465790.0,1.9,89506.0,21769.0594774,12.6548421699,
2014-08-14,0.0,1961.0,5280750.0,1.76,99815.0,20445.1809575,15.0224181261,
2014-08-15,0.0,1641.0,4932750.0,1.59,182760.0,21791.436815,21.5679678959,
2014-08-16,0.0,1589.0,4413540.0,1.6,82703.0,21133.3937066,14.4814740114,
2014-08-17,0.0,1597.0,4447240.0,1.46,72244.0,20891.3956075,11.674949402,
2014-08-18,0.0,1787.0,4074930.0,1.45,108222.0,21660.2223114,14.2536853367,
2014-08-19,0.0,1804.0,4013520.0,1.65,98273.0,21086.9689719,13.9344701012,
2014-08-20,0.0,2354.0,4795780.0,1.83,286655.0,21121.3653784,17.104539395,
2014-08-21,0.0,1855.0,5337170.0,1.82,141302.0,21788.1641269,13.8210790595,
2014-08-22,0.0,1902.0,5331550.0,1.78,118268.0,21429.2969776,13.9955685159,
2014-08-23,0.0,3255.0,5236920.0,1.81,81316.0,21058.8583175,28.4525327123,
2014-08-24,0.0,2708.0,5377400.0,1.95,113086.0,21902.4251486,64.1080561262,
2014-08-25,0.0,1688.0,5843100.0,2.05,179315.0,20644.5457174,100.773591565,
2014-08-26,0.0,1308.0,6291750.0,2.01,191411.0,21358.0111903,98.9565618408,
2014-08-27,0.0,1129.0,6098760.0,2.01,125364.0,20292.747378,80.8867727075,
2014-08-28,0.0,1294.0,6110120.0,2.21,246829.0,21532.2546613,90.9922060716,
2014-08-29,0.0,1244.0,6708610.0,2.21,219724.0,21284.0968012,82.7221792855,
2014-08-30,0.0,1330.0,6832530.0,2.44,270668.0,21341.5674965,97.7308463037,
2014-08-31,0.0,1387.0,7577360.0,2.17,308396.0,20028.0784093,110.006216546,
2014-09-01,0.0,1258.0,6827450.0,2.04,268279.0,21031.0738006,98.017996275,
2014-09-02,0.0,1205.0,6464120.0,1.96,218797.0,20600.6171744,109.32002428,
2014-09-03,0.0,2856.0,6205680.0,2.03,153437.0,20369.1670444,276.273549198,
2014-09-04,0.0,1967.0,6507160.0,2.05,186620.0,21126.9907213,135.907381552,
2014-09-05,0.0,893.0,6595670.0,1.98,168193.0,20900.6184592,88.2285513112,
2014-09-06,0.0,885.0,6411200.0,1.95,120274.0,20934.3082512,94.3216161013,
2014-09-07,0.0,888.0,6324720.0,1.88,151671.0,21386.7162433,98.9349232411,
2014-09-08,0.0,911.0,6166130.0,1.87,158829.0,19860.4713854,97.0608630743,
2014-09-09,0.0,962.0,6200410.0,1.77,129058.0,20654.8667162,109.488180351,
2014-09-10,0.0,1158.0,5876080.0,1.97,280005.0,20318.0811277,126.088902465,
2014-09-11,0.0,1058.0,6583810.0,1.94,173065.0,20567.2387074,115.414244159,
2014-09-12,0.0,947.0,6544780.0,1.88,166282.0,20913.9920949,101.792890872,
2014-09-13,0.0,837.0,6365210.0,1.85,156820.0,20799.7275863,96.1184110329,
2014-09-14,0.0,804.0,6308010.0,1.82,123269.0,21156.8680595,95.8546857386,
2014-09-15,0.0,912.0,6241990.0,1.9,132403.0,19652.5271825,101.211411533,
2014-09-16,0.0,1090.0,6557510.0,1.84,149855.0,20656.3542396,119.88058194,
2014-09-17,0.0,1045.0,6389740.0,1.77,291633.0,20041.5003465,117.141526701,
2014-09-18,0.0,958.0,6076160.0,1.57,253082.0,20202.0844377,108.087748852,
2014-09-19,0.0,942.0,5503840.0,1.45,171739.0,20653.7496569,109.62516701,
2014-09-20,0.0,868.0,5094260.0,1.27,362626.0,20657.9504964,107.997911295,
2014-09-21,0.0,1118.0,4502750.0,1.27,239591.0,19527.5032667,129.917764373,
2014-09-22,0.0,883.0,4552650.0,1.26,137822.0,19832.1678246,94.4190618422,
2014-09-23,0.0,1006.0,4526380.0,1.47,205229.0,20519.730404,108.10255686,
2014-09-24,0.0,622.0,5285770.0,1.51,122748.0,20139.1626876,53.3555452798,
2014-09-25,0.0,884.0,5441180.0,1.4,126179.0,19983.811792,88.2293706297,
2014-09-26,0.0,674.0,5104450.0,1.39,81632.0,21162.8581143,76.2186116629,
2014-09-27,0.0,633.0,5082540.0,1.31,95657.0,19562.3275366,76.5200982491,
2014-09-28,0.0,796.0,4821140.0,1.22,84413.0,20034.2964505,97.818587242,
2014-09-29,0.0,769.0,4533030.0,1.15,83902.0,20455.579086,96.5769285062,
2014-09-30,0.0,786.0,4344950.0,1.22,82094.0,20749.8582868,96.3408938049,
2014-10-01,0.0,817.0,4536570.0,1.2,65140.0,20015.8222215,98.6350098679,
2014-10-02,0.0,653.0,4588330.0,1.19,61824.0,19331.19902,91.7039119846,
2014-10-03,0.0,706.0,4493740.0,1.1,113844.0,19940.3861811,87.3071622409,
2014-10-04,0.0,642.0,4166030.0,0.977628,65894.0,19922.2350255,77.8236707559,
2014-10-05,0.0,685.0,3745430.0,0.879503,86073.0,19968.8625342,79.0889240004,
2014-10-06,0.0,635.0,3385660.0,0.979703,65377.0,20067.6888539,114.369549715,
2014-10-07,0.0,659.0,3797610.0,1.0,68252.0,19729.1424482,76.8943283586,
2014-10-08,0.0,732.0,3906930.0,1.09,116352.0,19808.0793198,84.3516287477,
2014-10-09,0.0,688.0,4255220.0,1.11,66785.0,19934.9952961,80.5920054266,
2014-10-10,0.0,826.0,4343870.0,1.14,121420.0,19913.2081281,98.1050705042,
2014-10-11,0.0,578.0,4499020.0,1.08,81876.0,19966.4528047,70.0874833084,
2014-10-12,0.0,606.0,4280260.0,1.09,58972.0,19210.4848559,69.125092309,
2014-10-13,0.0,706.0,4324230.0,1.1,92059.0,19782.836579,79.8842425851,
2014-10-14,0.0,650.0,4406300.0,1.07,63787.0,19306.3328805,79.4376962861,
2014-10-15,0.0,611.0,4365480.0,0.990811,104550.0,19775.3277237,74.693754228,
2014-10-16,0.0,527.0,3997770.0,0.999458,59154.0,19185.7897506,108.767182208,
2014-10-17,0.0,580.0,4064590.0,0.973198,63034.0,19699.4422007,69.2246062799,
2014-10-18,0.0,498.0,3981500.0,0.96583,60842.0,19989.4200489,60.079591137,
2014-10-19,0.0,571.0,3968000.0,0.994436,47858.0,19328.8029607,70.9782580794,
2014-10-20,0.0,707.0,4110980.0,0.950394,86281.0,19065.6484989,79.3697635937,
2014-10-21,0.0,592.0,3949060.0,0.957783,50963.0,18988.701305,69.6956555929,
2014-10-22,0.0,701.0,3987300.0,0.946716,63727.0,19438.4425081,84.8285772363,
2014-10-23,0.0,688.0,3944870.0,0.865496,97124.0,19821.3127939,82.4604250887,
2014-10-24,0.0,629.0,3541880.0,0.762157,52867.0,19855.2674539,78.485646391,
2014-10-25,0.0,670.0,3227940.0,0.739802,54596.0,18854.0405707,83.9603454026,
2014-10-26,0.0,626.0,3142310.0,0.694402,37577.0,18940.6019531,77.4960143986,
2014-10-27,0.0,909.0,2974520.0,0.722831,141319.0,18853.9426156,112.610636003,
2014-10-28,0.0,608.0,3016260.0,0.689257,82389.0,18630.3667856,73.8557451298,
2014-10-29,0.0,690.0,2958330.0,0.63306,23967.0,19770.6453469,88.9085661999,
2014-10-30,0.0,562.0,2731100.0,0.614064,48427.0,19416.0137284,73.9040856426,
2014-10-31,0.0,535.0,2663690.0,0.607218,37303.0,19771.4595058,69.5851702653,
