date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-10-29,3920513.02308,5366.0,1383590.0,2044.47,2532790.0,349.73217668,0.25014267,
2016-10-30,2418047.95528,7198.0,959342.0,574.82,1009210.0,554.91290726,0.2590202,
2016-10-31,13847434.5168,5830.0,593240.0,1624.58,4333820.0,767.92263534,0.25981363,
2016-11-01,9665148.24085,5588.0,2895110.0,1333.74,4802060.0,972.24066653,0.30023121,
2016-11-02,8365330.24387,6922.0,3701650.0,942.78,3936160.0,1165.93871891,0.41087831,
2016-11-03,9511134.50292,6844.0,3728630.0,887.26,2783300.0,1369.4076097,0.55510851,
2016-11-04,5356801.29025,7208.0,4734940.0,603.98,2469390.0,1613.23521831,0.33327751,
2016-11-05,2464797.40451,3925.0,4167660.0,504.57,1984150.0,1799.58306901,0.3127255,
2016-11-06,1604215.35508,3185.0,4422370.0,321.79,2390590.0,1987.56421187,0.33259283,
2016-11-07,2600471.77595,3730.0,3436850.0,236.0,1808930.0,2216.52474988,0.31756121,
2016-11-08,1927342.14604,3024.0,3035070.0,308.64,2578200.0,2400.65442837,0.25680038,
2016-11-09,2010366.29263,2857.0,5098610.0,255.58,3706020.0,2573.9037788,0.27552544,
2016-11-10,1849123.03397,2436.0,4580450.0,226.17,1255400.0,2823.0773086,0.21644517,
2016-11-11,1370151.40289,2466.0,4667530.0,183.36,1173130.0,3083.92528028,0.249479,
2016-11-12,1186934.50896,2443.0,4372390.0,144.11,1167540.0,3188.85176279,0.564429180001,
2016-11-13,1028687.38167,2588.0,3875970.0,117.26,1401920.0,3479.2897819,0.975313739999,
2016-11-14,1148133.57374,2699.0,3594280.0,105.06,1418260.0,3670.65031568,0.626861309999,
2016-11-15,1055366.94126,2505.0,3600530.0,109.34,2030660.0,3946.53296927,0.61395575,
2016-11-16,1070604.05904,2426.0,4190380.0,96.95,1443840.0,3966.81233667,1.33309286,
2016-11-17,1030253.72178,3226.0,4107780.0,87.64,915597.0,4389.0324272,4.63911205,
2016-11-18,1010451.10858,3087.0,4064910.0,70.64,1032890.0,4376.17352498,4.68496121,
2016-11-19,891972.633694,2926.0,3622130.0,65.7,822655.0,4697.13650032,3.5167761,
2016-11-20,799522.254041,2623.0,3632640.0,60.27,598211.0,4857.40378517,2.41914155,
2016-11-21,627127.876806,2065.0,3627400.0,54.02,711312.0,5158.88574908,0.25070414,
2016-11-22,740074.587881,2014.0,3546160.0,57.9,1326320.0,5215.44288115,0.221206430001,
2016-11-23,1128544.90162,2208.0,4077640.0,77.56,2391080.0,5592.63590798,0.23750097,
2016-11-24,1486553.87453,2570.0,5998180.0,97.19,4090150.0,5855.74328202,0.2835849,
2016-11-25,1645147.42243,2325.0,7953550.0,91.33,3525760.0,5832.19318061,0.32477331,
2016-11-26,1089894.10987,2201.0,8032700.0,77.3,1902290.0,6075.12975897,0.282837609999,
2016-11-27,1093561.81231,2502.0,7286500.0,69.83,1465100.0,6322.22644796,1.49714774,
